0Q :acc 0.6685 , nmi 0.3469 , ari 0.2882 , f1 0.6762
0Z :acc 0.3515 , nmi 0.0886 , ari 0.0759 , f1 0.3318
0P :acc 0.6845 , nmi 0.3408 , ari 0.3308 , f1 0.6895
1Q :acc 0.6682 , nmi 0.3457 , ari 0.2887 , f1 0.6761
1Z :acc 0.3557 , nmi 0.0945 , ari 0.0813 , f1 0.3365
1P :acc 0.6823 , nmi 0.3381 , ari 0.3278 , f1 0.6874
2Q :acc 0.6692 , nmi 0.3456 , ari 0.2909 , f1 0.6768
2Z :acc 0.3574 , nmi 0.0950 , ari 0.0833 , f1 0.3385
2P :acc 0.6823 , nmi 0.3374 , ari 0.3277 , f1 0.6873
3Q :acc 0.6724 , nmi 0.3475 , ari 0.2969 , f1 0.6799
3Z :acc 0.3626 , nmi 0.1002 , ari 0.0892 , f1 0.3423
3P :acc 0.6847 , nmi 0.3405 , ari 0.3321 , f1 0.6897
4Q :acc 0.6722 , nmi 0.3452 , ari 0.2977 , f1 0.6797
4Z :acc 0.3680 , nmi 0.1052 , ari 0.0935 , f1 0.3474
4P :acc 0.6860 , nmi 0.3426 , ari 0.3344 , f1 0.6909
5Q :acc 0.6749 , nmi 0.3470 , ari 0.3027 , f1 0.6823
5Z :acc 0.3712 , nmi 0.1072 , ari 0.0972 , f1 0.3487
5P :acc 0.6855 , nmi 0.3421 , ari 0.3340 , f1 0.6903
6Q :acc 0.6769 , nmi 0.3477 , ari 0.3070 , f1 0.6842
6Z :acc 0.3771 , nmi 0.1121 , ari 0.1025 , f1 0.3531
6P :acc 0.6862 , nmi 0.3439 , ari 0.3355 , f1 0.6911
7Q :acc 0.6788 , nmi 0.3492 , ari 0.3102 , f1 0.6860
7Z :acc 0.3808 , nmi 0.1157 , ari 0.1055 , f1 0.3559
7P :acc 0.6867 , nmi 0.3445 , ari 0.3371 , f1 0.6914
8Q :acc 0.6801 , nmi 0.3486 , ari 0.3132 , f1 0.6869
8Z :acc 0.3843 , nmi 0.1159 , ari 0.1063 , f1 0.3590
8P :acc 0.6882 , nmi 0.3457 , ari 0.3400 , f1 0.6926
9Q :acc 0.6815 , nmi 0.3484 , ari 0.3164 , f1 0.6879
9Z :acc 0.3899 , nmi 0.1178 , ari 0.1081 , f1 0.3579
9P :acc 0.6894 , nmi 0.3470 , ari 0.3425 , f1 0.6936
10Q :acc 0.6847 , nmi 0.3506 , ari 0.3223 , f1 0.6909
10Z :acc 0.3971 , nmi 0.1216 , ari 0.1119 , f1 0.3650
10P :acc 0.6902 , nmi 0.3476 , ari 0.3440 , f1 0.6942
11Q :acc 0.6907 , nmi 0.3566 , ari 0.3327 , f1 0.6965
11Z :acc 0.4070 , nmi 0.1256 , ari 0.1160 , f1 0.3745
