acc 0.8251, nmi 0.5127, ari 0.5562, f1 0.8254
acc 0.9051, nmi 0.6817, ari 0.7400, f1 0.9052
acc 0.9051, nmi 0.6820, ari 0.7401, f1 0.9052
acc 0.9127, nmi 0.6987, ari 0.7589, f1 0.9127
acc 0.9101, nmi 0.6943, ari 0.7519, f1 0.9103
acc 0.9164, nmi 0.7077, ari 0.7679, f1 0.9165
acc 0.9213, nmi 0.7195, ari 0.7806, f1 0.9213
acc 0.9223, nmi 0.7211, ari 0.7829, f1 0.9224
acc 0.9197, nmi 0.7121, ari 0.7757, f1 0.9198
acc 0.9193, nmi 0.7093, ari 0.7743, f1 0.9195
acc 0.9217, nmi 0.7155, ari 0.7805, f1 0.9217
acc 0.9243, nmi 0.7234, ari 0.7876, f1 0.9243
acc 0.9233, nmi 0.7210, ari 0.7853, f1 0.9232
acc 0.9233, nmi 0.7216, ari 0.7853, f1 0.9232
acc 0.9256, nmi 0.7279, ari 0.7910, f1 0.9257
acc 0.9260, nmi 0.7296, ari 0.7920, f1 0.9260
acc 0.9260, nmi 0.7301, ari 0.7921, f1 0.9260
acc 0.9256, nmi 0.7297, ari 0.7915, f1 0.9256
acc 0.9263, nmi 0.7317, ari 0.7932, f1 0.9263
acc 0.9273, nmi 0.7346, ari 0.7958, f1 0.9273
acc 0.9273, nmi 0.7346, ari 0.7958, f1 0.9273
acc 0.9279, nmi 0.7365, ari 0.7976, f1 0.9279
acc 0.9296, nmi 0.7419, ari 0.8019, f1 0.9297
acc 0.9302, nmi 0.7439, ari 0.8036, f1 0.9304
acc 0.9306, nmi 0.7451, ari 0.8045, f1 0.9307
acc 0.9306, nmi 0.7456, ari 0.8046, f1 0.9306
acc 0.9309, nmi 0.7470, ari 0.8055, f1 0.9310
acc 0.9319, nmi 0.7489, ari 0.8079, f1 0.9320
acc 0.9329, nmi 0.7519, ari 0.8106, f1 0.9330
acc 0.9329, nmi 0.7518, ari 0.8106, f1 0.9330
acc 0.9342, nmi 0.7556, ari 0.8141, f1 0.9343
acc 0.9352, nmi 0.7595, ari 0.8169, f1 0.9353
acc 0.9355, nmi 0.7600, ari 0.8177, f1 0.9356
acc 0.9355, nmi 0.7595, ari 0.8176, f1 0.9357
acc 0.9342, nmi 0.7558, ari 0.8141, f1 0.9343
acc 0.9355, nmi 0.7593, ari 0.8176, f1 0.9357
acc 0.9365, nmi 0.7622, ari 0.8203, f1 0.9366
acc 0.9359, nmi 0.7602, ari 0.8185, f1 0.9360
acc 0.9349, nmi 0.7575, ari 0.8158, f1 0.9350
acc 0.9349, nmi 0.7572, ari 0.8157, f1 0.9350
acc 0.9342, nmi 0.7566, ari 0.8142, f1 0.9343
acc 0.9345, nmi 0.7568, ari 0.8150, f1 0.9347
acc 0.9355, nmi 0.7606, ari 0.8177, f1 0.9357
acc 0.9355, nmi 0.7605, ari 0.8177, f1 0.9357
acc 0.9359, nmi 0.7623, ari 0.8187, f1 0.9360
acc 0.9362, nmi 0.7634, ari 0.8196, f1 0.9363
acc 0.9355, nmi 0.7614, ari 0.8178, f1 0.9357
acc 0.9359, nmi 0.7625, ari 0.8187, f1 0.9360
acc 0.9362, nmi 0.7632, ari 0.8195, f1 0.9363
acc 0.9362, nmi 0.7635, ari 0.8195, f1 0.9363
acc 0.9362, nmi 0.7630, ari 0.8195, f1 0.9364
acc 0.9372, nmi 0.7658, ari 0.8221, f1 0.9373
acc 0.9372, nmi 0.7659, ari 0.8221, f1 0.9373
acc 0.9372, nmi 0.7659, ari 0.8221, f1 0.9373
acc 0.9375, nmi 0.7666, ari 0.8230, f1 0.9377
acc 0.9375, nmi 0.7676, ari 0.8231, f1 0.9377
acc 0.9375, nmi 0.7680, ari 0.8231, f1 0.9377
acc 0.9375, nmi 0.7680, ari 0.8231, f1 0.9377
acc 0.9372, nmi 0.7668, ari 0.8222, f1 0.9374
acc 0.9375, nmi 0.7678, ari 0.8230, f1 0.9377
acc 0.9388, nmi 0.7717, ari 0.8266, f1 0.9390
acc 0.9392, nmi 0.7725, ari 0.8275, f1 0.9393
acc 0.9392, nmi 0.7727, ari 0.8275, f1 0.9393
acc 0.9398, nmi 0.7745, ari 0.8293, f1 0.9399
acc 0.9402, nmi 0.7756, ari 0.8301, f1 0.9403
acc 0.9405, nmi 0.7764, ari 0.8310, f1 0.9406
acc 0.9398, nmi 0.7751, ari 0.8293, f1 0.9399
acc 0.9398, nmi 0.7751, ari 0.8293, f1 0.9399
acc 0.9398, nmi 0.7745, ari 0.8293, f1 0.9399
acc 0.9402, nmi 0.7756, ari 0.8302, f1 0.9403
acc 0.9395, nmi 0.7735, ari 0.8284, f1 0.9396
acc 0.9392, nmi 0.7726, ari 0.8275, f1 0.9393
acc 0.9398, nmi 0.7740, ari 0.8292, f1 0.9400
acc 0.9398, nmi 0.7741, ari 0.8292, f1 0.9400
acc 0.9392, nmi 0.7720, ari 0.8274, f1 0.9393
acc 0.9392, nmi 0.7724, ari 0.8274, f1 0.9394
acc 0.9388, nmi 0.7713, ari 0.8265, f1 0.9390
acc 0.9398, nmi 0.7739, ari 0.8291, f1 0.9400
acc 0.9398, nmi 0.7739, ari 0.8291, f1 0.9400
acc 0.9402, nmi 0.7746, ari 0.8300, f1 0.9403
acc 0.9398, nmi 0.7736, ari 0.8291, f1 0.9400
acc 0.9402, nmi 0.7747, ari 0.8300, f1 0.9404
acc 0.9402, nmi 0.7750, ari 0.8300, f1 0.9404
acc 0.9402, nmi 0.7750, ari 0.8300, f1 0.9404
acc 0.9398, nmi 0.7741, ari 0.8291, f1 0.9400
acc 0.9395, nmi 0.7728, ari 0.8282, f1 0.9397
acc 0.9395, nmi 0.7728, ari 0.8282, f1 0.9397
acc 0.9395, nmi 0.7728, ari 0.8282, f1 0.9397
acc 0.9392, nmi 0.7718, ari 0.8273, f1 0.9394
acc 0.9392, nmi 0.7718, ari 0.8273, f1 0.9394
acc 0.9388, nmi 0.7711, ari 0.8264, f1 0.9391
acc 0.9385, nmi 0.7698, ari 0.8255, f1 0.9387
acc 0.9385, nmi 0.7698, ari 0.8255, f1 0.9387
acc 0.9382, nmi 0.7685, ari 0.8246, f1 0.9384
acc 0.9379, nmi 0.7675, ari 0.8237, f1 0.9381
acc 0.9375, nmi 0.7666, ari 0.8228, f1 0.9378
acc 0.9379, nmi 0.7677, ari 0.8237, f1 0.9381
acc 0.9375, nmi 0.7668, ari 0.8228, f1 0.9378
acc 0.9369, nmi 0.7651, ari 0.8210, f1 0.9371
acc 0.9372, nmi 0.7663, ari 0.8219, f1 0.9375
acc 0.9372, nmi 0.7661, ari 0.8219, f1 0.9375
acc 0.9365, nmi 0.7645, ari 0.8201, f1 0.9369
acc 0.9362, nmi 0.7633, ari 0.8192, f1 0.9365
acc 0.9359, nmi 0.7625, ari 0.8183, f1 0.9362
acc 0.9359, nmi 0.7625, ari 0.8183, f1 0.9362
acc 0.9355, nmi 0.7616, ari 0.8175, f1 0.9359
acc 0.9355, nmi 0.7615, ari 0.8174, f1 0.9359
acc 0.9345, nmi 0.7590, ari 0.8148, f1 0.9349
acc 0.9345, nmi 0.7590, ari 0.8148, f1 0.9349
acc 0.9342, nmi 0.7582, ari 0.8140, f1 0.9346
acc 0.9339, nmi 0.7575, ari 0.8131, f1 0.9343
acc 0.9339, nmi 0.7572, ari 0.8131, f1 0.9343
acc 0.9339, nmi 0.7577, ari 0.8131, f1 0.9343
acc 0.9339, nmi 0.7573, ari 0.8131, f1 0.9342
acc 0.9339, nmi 0.7575, ari 0.8131, f1 0.9343
acc 0.9339, nmi 0.7575, ari 0.8131, f1 0.9343
acc 0.9345, nmi 0.7591, ari 0.8148, f1 0.9349
acc 0.9345, nmi 0.7591, ari 0.8148, f1 0.9349
acc 0.9342, nmi 0.7584, ari 0.8140, f1 0.9346
acc 0.9339, nmi 0.7575, ari 0.8131, f1 0.9343
acc 0.9345, nmi 0.7596, ari 0.8149, f1 0.9349
acc 0.9342, nmi 0.7584, ari 0.8140, f1 0.9346
acc 0.9345, nmi 0.7591, ari 0.8148, f1 0.9349
acc 0.9345, nmi 0.7590, ari 0.8148, f1 0.9349
acc 0.9345, nmi 0.7590, ari 0.8148, f1 0.9349
acc 0.9349, nmi 0.7597, ari 0.8156, f1 0.9352
acc 0.9345, nmi 0.7587, ari 0.8148, f1 0.9349
acc 0.9342, nmi 0.7578, ari 0.8139, f1 0.9346
acc 0.9342, nmi 0.7578, ari 0.8139, f1 0.9346
acc 0.9342, nmi 0.7578, ari 0.8139, f1 0.9346
acc 0.9342, nmi 0.7574, ari 0.8139, f1 0.9346
acc 0.9345, nmi 0.7586, ari 0.8147, f1 0.9349
acc 0.9342, nmi 0.7577, ari 0.8138, f1 0.9346
acc 0.9345, nmi 0.7584, ari 0.8147, f1 0.9349
acc 0.9342, nmi 0.7573, ari 0.8138, f1 0.9346
acc 0.9342, nmi 0.7573, ari 0.8138, f1 0.9346
acc 0.9342, nmi 0.7573, ari 0.8138, f1 0.9346
acc 0.9342, nmi 0.7573, ari 0.8138, f1 0.9346
acc 0.9342, nmi 0.7573, ari 0.8138, f1 0.9346
acc 0.9342, nmi 0.7573, ari 0.8138, f1 0.9346
acc 0.9342, nmi 0.7573, ari 0.8138, f1 0.9346
acc 0.9342, nmi 0.7573, ari 0.8138, f1 0.9346
acc 0.9342, nmi 0.7573, ari 0.8138, f1 0.9346
acc 0.9342, nmi 0.7573, ari 0.8138, f1 0.9346
acc 0.9342, nmi 0.7573, ari 0.8138, f1 0.9346
acc 0.9342, nmi 0.7573, ari 0.8138, f1 0.9346
acc 0.9342, nmi 0.7573, ari 0.8138, f1 0.9346
acc 0.9342, nmi 0.7573, ari 0.8138, f1 0.9346
acc 0.9342, nmi 0.7573, ari 0.8138, f1 0.9346
acc 0.9342, nmi 0.7573, ari 0.8138, f1 0.9346
acc 0.9342, nmi 0.7573, ari 0.8138, f1 0.9346
acc 0.9342, nmi 0.7573, ari 0.8138, f1 0.9346
acc 0.9342, nmi 0.7573, ari 0.8138, f1 0.9346
acc 0.9342, nmi 0.7573, ari 0.8138, f1 0.9346
acc 0.9342, nmi 0.7573, ari 0.8138, f1 0.9346
acc 0.9342, nmi 0.7573, ari 0.8138, f1 0.9346
acc 0.9339, nmi 0.7564, ari 0.8129, f1 0.9343
acc 0.9339, nmi 0.7564, ari 0.8129, f1 0.9343
acc 0.9339, nmi 0.7564, ari 0.8129, f1 0.9343
acc 0.9339, nmi 0.7564, ari 0.8129, f1 0.9343
acc 0.9339, nmi 0.7564, ari 0.8129, f1 0.9343
acc 0.9339, nmi 0.7564, ari 0.8129, f1 0.9343
acc 0.9339, nmi 0.7564, ari 0.8129, f1 0.9343
acc 0.9336, nmi 0.7556, ari 0.8121, f1 0.9339
acc 0.9336, nmi 0.7556, ari 0.8121, f1 0.9339
acc 0.9332, nmi 0.7544, ari 0.8112, f1 0.9336
acc 0.9332, nmi 0.7544, ari 0.8112, f1 0.9336
acc 0.9332, nmi 0.7544, ari 0.8112, f1 0.9336
acc 0.9329, nmi 0.7534, ari 0.8103, f1 0.9333
acc 0.9326, nmi 0.7525, ari 0.8094, f1 0.9329
acc 0.9326, nmi 0.7525, ari 0.8094, f1 0.9329
acc 0.9326, nmi 0.7525, ari 0.8094, f1 0.9329
acc 0.9326, nmi 0.7525, ari 0.8094, f1 0.9329
acc 0.9326, nmi 0.7525, ari 0.8094, f1 0.9329
acc 0.9326, nmi 0.7525, ari 0.8094, f1 0.9329
acc 0.9326, nmi 0.7525, ari 0.8094, f1 0.9329
acc 0.9326, nmi 0.7525, ari 0.8094, f1 0.9329
acc 0.9326, nmi 0.7525, ari 0.8094, f1 0.9329
acc 0.9326, nmi 0.7525, ari 0.8094, f1 0.9329
acc 0.9326, nmi 0.7525, ari 0.8094, f1 0.9329
acc 0.9326, nmi 0.7525, ari 0.8094, f1 0.9329
acc 0.9326, nmi 0.7525, ari 0.8094, f1 0.9329
acc 0.9322, nmi 0.7517, ari 0.8085, f1 0.9326
acc 0.9322, nmi 0.7517, ari 0.8085, f1 0.9326
acc 0.9322, nmi 0.7517, ari 0.8085, f1 0.9326
acc 0.9322, nmi 0.7517, ari 0.8085, f1 0.9326
acc 0.9322, nmi 0.7517, ari 0.8085, f1 0.9326
acc 0.9322, nmi 0.7517, ari 0.8085, f1 0.9326
acc 0.9319, nmi 0.7505, ari 0.8076, f1 0.9323
acc 0.9316, nmi 0.7497, ari 0.8068, f1 0.9320
acc 0.9316, nmi 0.7497, ari 0.8068, f1 0.9320
acc 0.9316, nmi 0.7497, ari 0.8068, f1 0.9320
