acc 0.8251, nmi 0.5127, ari 0.5562, f1 0.8254
acc 0.8820, nmi 0.6291, ari 0.6833, f1 0.8822
acc 0.8985, nmi 0.6596, ari 0.7229, f1 0.8985
acc 0.9048, nmi 0.6776, ari 0.7393, f1 0.9045
acc 0.9018, nmi 0.6714, ari 0.7318, f1 0.9018
acc 0.9084, nmi 0.6880, ari 0.7481, f1 0.9084
acc 0.9008, nmi 0.6694, ari 0.7288, f1 0.9009
acc 0.9091, nmi 0.6892, ari 0.7496, f1 0.9091
acc 0.9124, nmi 0.6993, ari 0.7585, f1 0.9122
acc 0.9127, nmi 0.6997, ari 0.7592, f1 0.9126
acc 0.9101, nmi 0.6916, ari 0.7520, f1 0.9101
acc 0.9098, nmi 0.6904, ari 0.7511, f1 0.9099
acc 0.9104, nmi 0.6923, ari 0.7528, f1 0.9105
acc 0.9144, nmi 0.7032, ari 0.7630, f1 0.9144
acc 0.9170, nmi 0.7103, ari 0.7699, f1 0.9170
acc 0.9183, nmi 0.7132, ari 0.7732, f1 0.9183
acc 0.9183, nmi 0.7128, ari 0.7730, f1 0.9184
acc 0.9174, nmi 0.7095, ari 0.7703, f1 0.9175
acc 0.9154, nmi 0.7044, ari 0.7652, f1 0.9155
acc 0.9164, nmi 0.7069, ari 0.7677, f1 0.9165
acc 0.9183, nmi 0.7136, ari 0.7732, f1 0.9184
acc 0.9174, nmi 0.7114, ari 0.7706, f1 0.9174
acc 0.9174, nmi 0.7122, ari 0.7708, f1 0.9174
acc 0.9177, nmi 0.7115, ari 0.7715, f1 0.9177
acc 0.9180, nmi 0.7124, ari 0.7723, f1 0.9180
acc 0.9183, nmi 0.7139, ari 0.7733, f1 0.9183
acc 0.9183, nmi 0.7128, ari 0.7732, f1 0.9183
acc 0.9187, nmi 0.7137, ari 0.7741, f1 0.9186
acc 0.9190, nmi 0.7147, ari 0.7749, f1 0.9190
acc 0.9197, nmi 0.7163, ari 0.7766, f1 0.9196
acc 0.9197, nmi 0.7150, ari 0.7765, f1 0.9196
acc 0.9200, nmi 0.7159, ari 0.7773, f1 0.9199
acc 0.9207, nmi 0.7177, ari 0.7790, f1 0.9206
acc 0.9207, nmi 0.7180, ari 0.7791, f1 0.9206
acc 0.9210, nmi 0.7187, ari 0.7799, f1 0.9209
acc 0.9217, nmi 0.7203, ari 0.7816, f1 0.9216
acc 0.9220, nmi 0.7213, ari 0.7824, f1 0.9219
