acc 0.6078, nmi 0.3223, ari 0.3250, f1 0.5740
acc 0.6096, nmi 0.3273, ari 0.3275, f1 0.5772
acc 0.6156, nmi 0.3396, ari 0.3398, f1 0.5818
acc 0.6216, nmi 0.3521, ari 0.3491, f1 0.5878
acc 0.6279, nmi 0.3631, ari 0.3577, f1 0.5962
acc 0.6384, nmi 0.3735, ari 0.3706, f1 0.6067
acc 0.6360, nmi 0.3756, ari 0.3707, f1 0.6038
acc 0.6387, nmi 0.3776, ari 0.3772, f1 0.6090
acc 0.6369, nmi 0.3837, ari 0.3812, f1 0.6073
acc 0.6381, nmi 0.3905, ari 0.3868, f1 0.6093
acc 0.6381, nmi 0.3917, ari 0.3872, f1 0.6078
acc 0.6384, nmi 0.3966, ari 0.3909, f1 0.6087
acc 0.6369, nmi 0.3887, ari 0.3845, f1 0.6051
acc 0.6384, nmi 0.3901, ari 0.3868, f1 0.6066
acc 0.6432, nmi 0.3940, ari 0.3938, f1 0.6110
acc 0.6396, nmi 0.3945, ari 0.3906, f1 0.6097
acc 0.6429, nmi 0.3975, ari 0.3962, f1 0.6115
acc 0.6105, nmi 0.3801, ari 0.3629, f1 0.5863
acc 0.6105, nmi 0.3809, ari 0.3633, f1 0.5863
acc 0.6171, nmi 0.3852, ari 0.3718, f1 0.5911
acc 0.6216, nmi 0.3899, ari 0.3787, f1 0.5945
acc 0.6234, nmi 0.3928, ari 0.3817, f1 0.5962
acc 0.6315, nmi 0.3986, ari 0.3898, f1 0.6050
acc 0.6315, nmi 0.4027, ari 0.3945, f1 0.6015
acc 0.6342, nmi 0.4055, ari 0.3986, f1 0.6037
acc 0.6357, nmi 0.4084, ari 0.4018, f1 0.6052
acc 0.6360, nmi 0.4094, ari 0.4028, f1 0.6059
acc 0.6417, nmi 0.4150, ari 0.4105, f1 0.6109
acc 0.6516, nmi 0.4176, ari 0.4148, f1 0.6244
acc 0.6504, nmi 0.4158, ari 0.4140, f1 0.6228
acc 0.6507, nmi 0.4154, ari 0.4132, f1 0.6236
acc 0.6534, nmi 0.4157, ari 0.4159, f1 0.6249
acc 0.6405, nmi 0.4183, ari 0.4119, f1 0.6128
acc 0.6459, nmi 0.4216, ari 0.4178, f1 0.6172
acc 0.6474, nmi 0.4200, ari 0.4183, f1 0.6182
acc 0.6489, nmi 0.4205, ari 0.4200, f1 0.6189
acc 0.6501, nmi 0.4198, ari 0.4202, f1 0.6199
acc 0.6519, nmi 0.4205, ari 0.4219, f1 0.6222
acc 0.6573, nmi 0.4228, ari 0.4258, f1 0.6280
acc 0.6576, nmi 0.4218, ari 0.4258, f1 0.6281
acc 0.6598, nmi 0.4239, ari 0.4291, f1 0.6293
acc 0.6625, nmi 0.4254, ari 0.4338, f1 0.6283
acc 0.6646, nmi 0.4269, ari 0.4359, f1 0.6302
acc 0.6784, nmi 0.4281, ari 0.4429, f1 0.6455
acc 0.6778, nmi 0.4276, ari 0.4423, f1 0.6448
acc 0.6784, nmi 0.4276, ari 0.4427, f1 0.6451
acc 0.6826, nmi 0.4310, ari 0.4483, f1 0.6481
acc 0.6853, nmi 0.4320, ari 0.4517, f1 0.6494
acc 0.6859, nmi 0.4320, ari 0.4523, f1 0.6496
acc 0.6928, nmi 0.4357, ari 0.4610, f1 0.6487
acc 0.6940, nmi 0.4352, ari 0.4613, f1 0.6505
acc 0.6961, nmi 0.4374, ari 0.4640, f1 0.6520
acc 0.6964, nmi 0.4375, ari 0.4643, f1 0.6522
acc 0.6970, nmi 0.4387, ari 0.4658, f1 0.6520
acc 0.6979, nmi 0.4393, ari 0.4670, f1 0.6518
acc 0.6967, nmi 0.4382, ari 0.4655, f1 0.6504
acc 0.6964, nmi 0.4367, ari 0.4643, f1 0.6496
acc 0.6973, nmi 0.4378, ari 0.4659, f1 0.6504
acc 0.6946, nmi 0.4338, ari 0.4633, f1 0.6505
acc 0.6952, nmi 0.4343, ari 0.4642, f1 0.6506
