acc 0.6078, nmi 0.3223, ari 0.3250, f1 0.5740
acc 0.6038, nmi 0.3199, ari 0.3200, f1 0.5721
acc 0.6038, nmi 0.3210, ari 0.3192, f1 0.5691
acc 0.5855, nmi 0.3066, ari 0.3073, f1 0.5411
acc 0.5864, nmi 0.3091, ari 0.3081, f1 0.5418
acc 0.5894, nmi 0.3144, ari 0.3126, f1 0.5458
acc 0.5903, nmi 0.3145, ari 0.3132, f1 0.5464
acc 0.6207, nmi 0.3456, ari 0.3427, f1 0.5916
acc 0.6237, nmi 0.3513, ari 0.3473, f1 0.5953
acc 0.6279, nmi 0.3573, ari 0.3537, f1 0.5996
acc 0.6288, nmi 0.3593, ari 0.3553, f1 0.6003
acc 0.6303, nmi 0.3628, ari 0.3581, f1 0.5956
acc 0.6315, nmi 0.3657, ari 0.3608, f1 0.5973
acc 0.6333, nmi 0.3685, ari 0.3638, f1 0.5981
acc 0.6345, nmi 0.3694, ari 0.3653, f1 0.5994
acc 0.6417, nmi 0.3770, ari 0.3752, f1 0.6049
acc 0.6420, nmi 0.3773, ari 0.3748, f1 0.6057
acc 0.6450, nmi 0.3811, ari 0.3801, f1 0.6082
acc 0.6453, nmi 0.3850, ari 0.3826, f1 0.6094
acc 0.6435, nmi 0.3839, ari 0.3798, f1 0.6079
acc 0.6396, nmi 0.3814, ari 0.3761, f1 0.6050
acc 0.6399, nmi 0.3826, ari 0.3766, f1 0.6048
acc 0.6393, nmi 0.3819, ari 0.3759, f1 0.6038
acc 0.6417, nmi 0.3858, ari 0.3815, f1 0.6070
acc 0.6408, nmi 0.3824, ari 0.3792, f1 0.6053
acc 0.6354, nmi 0.3830, ari 0.3766, f1 0.6019
acc 0.6384, nmi 0.3860, ari 0.3838, f1 0.6062
acc 0.6399, nmi 0.3896, ari 0.3873, f1 0.6078
acc 0.6417, nmi 0.3925, ari 0.3906, f1 0.6100
acc 0.6429, nmi 0.3937, ari 0.3925, f1 0.6107
acc 0.6432, nmi 0.3948, ari 0.3932, f1 0.6112
acc 0.6447, nmi 0.3951, ari 0.3935, f1 0.6108
acc 0.6435, nmi 0.4028, ari 0.3958, f1 0.6155
acc 0.6453, nmi 0.3974, ari 0.3963, f1 0.6147
acc 0.6276, nmi 0.3941, ari 0.3811, f1 0.6069
acc 0.6279, nmi 0.3966, ari 0.3831, f1 0.6065
acc 0.6300, nmi 0.3975, ari 0.3852, f1 0.6089
acc 0.6315, nmi 0.4010, ari 0.3885, f1 0.6104
acc 0.6327, nmi 0.4030, ari 0.3907, f1 0.6119
acc 0.6324, nmi 0.4024, ari 0.3903, f1 0.6117
acc 0.6333, nmi 0.4047, ari 0.3919, f1 0.6130
acc 0.6345, nmi 0.4074, ari 0.3948, f1 0.6137
acc 0.6393, nmi 0.4090, ari 0.3992, f1 0.6174
acc 0.6420, nmi 0.4092, ari 0.4001, f1 0.6207
acc 0.6432, nmi 0.4096, ari 0.4012, f1 0.6213
acc 0.6423, nmi 0.4092, ari 0.4007, f1 0.6205
acc 0.6450, nmi 0.4092, ari 0.4023, f1 0.6230
