acc 0.8347, nmi 0.7424, ari 0.6907, f1 0.8336
acc 0.7628, nmi 0.7545, ari 0.6689, f1 0.7335
acc 0.8464, nmi 0.7567, ari 0.7068, f1 0.8459
acc 0.8453, nmi 0.7536, ari 0.7038, f1 0.8442
acc 0.8479, nmi 0.7535, ari 0.7061, f1 0.8469
acc 0.8456, nmi 0.7495, ari 0.7016, f1 0.8441
acc 0.8413, nmi 0.7452, ari 0.6950, f1 0.8397
acc 0.8371, nmi 0.7395, ari 0.6877, f1 0.8351
acc 0.8344, nmi 0.7365, ari 0.6832, f1 0.8322
acc 0.8353, nmi 0.7380, ari 0.6848, f1 0.8331
acc 0.8304, nmi 0.7366, ari 0.6794, f1 0.8291
acc 0.8315, nmi 0.7385, ari 0.6815, f1 0.8303
acc 0.8319, nmi 0.7378, ari 0.6819, f1 0.8305
acc 0.8378, nmi 0.7405, ari 0.6888, f1 0.8358
acc 0.8397, nmi 0.7417, ari 0.6910, f1 0.8374
acc 0.8364, nmi 0.7382, ari 0.6852, f1 0.8340
acc 0.8336, nmi 0.7351, ari 0.6800, f1 0.8309
acc 0.8267, nmi 0.7283, ari 0.6685, f1 0.8239
acc 0.8238, nmi 0.7257, ari 0.6640, f1 0.8209
acc 0.8218, nmi 0.7246, ari 0.6613, f1 0.8187
acc 0.8177, nmi 0.7217, ari 0.6551, f1 0.8146
acc 0.8145, nmi 0.7193, ari 0.6504, f1 0.8113
acc 0.8092, nmi 0.7152, ari 0.6430, f1 0.8060
acc 0.8084, nmi 0.7149, ari 0.6423, f1 0.8049
acc 0.8069, nmi 0.7143, ari 0.6402, f1 0.8033
acc 0.8051, nmi 0.7133, ari 0.6381, f1 0.8015
acc 0.8027, nmi 0.7115, ari 0.6351, f1 0.7990
acc 0.7980, nmi 0.7082, ari 0.6294, f1 0.7940
acc 0.7968, nmi 0.7075, ari 0.6282, f1 0.7927
acc 0.7942, nmi 0.7059, ari 0.6250, f1 0.7900
acc 0.7912, nmi 0.7042, ari 0.6216, f1 0.7870
