acc 0.8347, nmi 0.7424, ari 0.6907, f1 0.8336
acc 0.8379, nmi 0.7456, ari 0.6914, f1 0.8389
acc 0.8382, nmi 0.7400, ari 0.6879, f1 0.8387
acc 0.8338, nmi 0.7349, ari 0.6809, f1 0.8339
acc 0.8312, nmi 0.7319, ari 0.6773, f1 0.8311
acc 0.8294, nmi 0.7295, ari 0.6745, f1 0.8293
acc 0.8243, nmi 0.7218, ari 0.6658, f1 0.8242
acc 0.8159, nmi 0.7060, ari 0.6489, f1 0.8167
acc 0.8051, nmi 0.6904, ari 0.6295, f1 0.8064
acc 0.7488, nmi 0.6670, ari 0.5864, f1 0.7428
acc 0.7878, nmi 0.6660, ari 0.5984, f1 0.7906
acc 0.7811, nmi 0.6536, ari 0.5854, f1 0.7845
acc 0.7735, nmi 0.6373, ari 0.5702, f1 0.7777
acc 0.7680, nmi 0.6207, ari 0.5590, f1 0.7726
acc 0.7539, nmi 0.5987, ari 0.5376, f1 0.7589
acc 0.7567, nmi 0.6031, ari 0.5411, f1 0.7615
acc 0.7559, nmi 0.6057, ari 0.5420, f1 0.7607
acc 0.7480, nmi 0.6050, ari 0.5387, f1 0.7517
acc 0.7479, nmi 0.6078, ari 0.5389, f1 0.7515
acc 0.7491, nmi 0.6114, ari 0.5413, f1 0.7528
acc 0.7502, nmi 0.6134, ari 0.5431, f1 0.7536
acc 0.7508, nmi 0.6134, ari 0.5436, f1 0.7545
acc 0.7600, nmi 0.6176, ari 0.5502, f1 0.7644
acc 0.7604, nmi 0.6142, ari 0.5480, f1 0.7651
acc 0.7629, nmi 0.6119, ari 0.5502, f1 0.7667
acc 0.7587, nmi 0.6026, ari 0.5432, f1 0.7617
acc 0.7599, nmi 0.6009, ari 0.5441, f1 0.7625
acc 0.7564, nmi 0.5939, ari 0.5382, f1 0.7588
acc 0.7563, nmi 0.5919, ari 0.5383, f1 0.7571
acc 0.6379, nmi 0.5173, ari 0.4260, f1 0.6344
acc 0.6393, nmi 0.5182, ari 0.4273, f1 0.6359
acc 0.6393, nmi 0.5187, ari 0.4279, f1 0.6362
acc 0.6412, nmi 0.5217, ari 0.4313, f1 0.6388
acc 0.6427, nmi 0.5266, ari 0.4355, f1 0.6407
acc 0.6459, nmi 0.5292, ari 0.4374, f1 0.6444
acc 0.6465, nmi 0.5316, ari 0.4392, f1 0.6450
acc 0.6480, nmi 0.5344, ari 0.4416, f1 0.6466
acc 0.6483, nmi 0.5359, ari 0.4407, f1 0.6469
acc 0.6462, nmi 0.5332, ari 0.4349, f1 0.6461
