acc 0.8119, nmi 0.5586, ari 0.6140, f1 0.7605
acc 0.8243, nmi 0.5944, ari 0.6447, f1 0.7801
acc 0.8206, nmi 0.5798, ari 0.6327, f1 0.7771
acc 0.8206, nmi 0.5779, ari 0.6351, f1 0.7756
acc 0.8277, nmi 0.5936, ari 0.6533, f1 0.7818
acc 0.8316, nmi 0.6006, ari 0.6614, f1 0.7851
acc 0.8226, nmi 0.6015, ari 0.6409, f1 0.7808
acc 0.8270, nmi 0.6070, ari 0.6467, f1 0.7859
acc 0.8380, nmi 0.6165, ari 0.6699, f1 0.7931
acc 0.8384, nmi 0.6149, ari 0.6693, f1 0.7927
acc 0.8404, nmi 0.6153, ari 0.6704, f1 0.7947
acc 0.8403, nmi 0.6153, ari 0.6689, f1 0.7952
acc 0.8370, nmi 0.6107, ari 0.6622, f1 0.7914
acc 0.8351, nmi 0.6091, ari 0.6594, f1 0.7895
acc 0.8360, nmi 0.6114, ari 0.6612, f1 0.7909
acc 0.8358, nmi 0.6120, ari 0.6619, f1 0.7905
acc 0.8365, nmi 0.6142, ari 0.6624, f1 0.7919
acc 0.8366, nmi 0.6151, ari 0.6620, f1 0.7927
acc 0.8351, nmi 0.6132, ari 0.6585, f1 0.7921
acc 0.8352, nmi 0.6129, ari 0.6588, f1 0.7924
acc 0.8345, nmi 0.6112, ari 0.6567, f1 0.7924
acc 0.8348, nmi 0.6122, ari 0.6577, f1 0.7927
acc 0.8356, nmi 0.6143, ari 0.6602, f1 0.7936
acc 0.8362, nmi 0.6160, ari 0.6624, f1 0.7942
acc 0.8325, nmi 0.6125, ari 0.6563, f1 0.7907
acc 0.8278, nmi 0.6071, ari 0.6466, f1 0.7868
acc 0.8249, nmi 0.6032, ari 0.6407, f1 0.7843
acc 0.8228, nmi 0.6018, ari 0.6367, f1 0.7826
acc 0.8214, nmi 0.6003, ari 0.6339, f1 0.7814
acc 0.8205, nmi 0.5989, ari 0.6323, f1 0.7806
acc 0.8203, nmi 0.5979, ari 0.6316, f1 0.7804
acc 0.8186, nmi 0.5949, ari 0.6278, f1 0.7789
acc 0.8185, nmi 0.5941, ari 0.6270, f1 0.7791
acc 0.8177, nmi 0.5929, ari 0.6256, f1 0.7784
acc 0.8163, nmi 0.5900, ari 0.6228, f1 0.7769
acc 0.8155, nmi 0.5880, ari 0.6212, f1 0.7760
acc 0.8145, nmi 0.5863, ari 0.6188, f1 0.7752
acc 0.8136, nmi 0.5846, ari 0.6168, f1 0.7745
acc 0.8130, nmi 0.5836, ari 0.6154, f1 0.7740
acc 0.8110, nmi 0.5796, ari 0.6107, f1 0.7723
acc 0.8105, nmi 0.5790, ari 0.6095, f1 0.7720
acc 0.8103, nmi 0.5786, ari 0.6091, f1 0.7718
acc 0.8105, nmi 0.5788, ari 0.6096, f1 0.7720
acc 0.8102, nmi 0.5779, ari 0.6090, f1 0.7717
acc 0.8098, nmi 0.5773, ari 0.6080, f1 0.7715
acc 0.8090, nmi 0.5762, ari 0.6063, f1 0.7708
acc 0.8087, nmi 0.5755, ari 0.6057, f1 0.7705
acc 0.8077, nmi 0.5733, ari 0.6038, f1 0.7694
acc 0.8074, nmi 0.5735, ari 0.6032, f1 0.7693
acc 0.8068, nmi 0.5723, ari 0.6022, f1 0.7687
acc 0.8058, nmi 0.5707, ari 0.6005, f1 0.7677
acc 0.8056, nmi 0.5706, ari 0.6001, f1 0.7677
acc 0.8054, nmi 0.5705, ari 0.5998, f1 0.7675
acc 0.8048, nmi 0.5692, ari 0.5983, f1 0.7672
acc 0.8047, nmi 0.5691, ari 0.5981, f1 0.7672
acc 0.8035, nmi 0.5671, ari 0.5956, f1 0.7662
acc 0.8035, nmi 0.5683, ari 0.5960, f1 0.7662
acc 0.8021, nmi 0.5668, ari 0.5929, f1 0.7651
acc 0.8021, nmi 0.5673, ari 0.5933, f1 0.7651
acc 0.8007, nmi 0.5649, ari 0.5900, f1 0.7640
acc 0.8002, nmi 0.5642, ari 0.5889, f1 0.7636
acc 0.8002, nmi 0.5644, ari 0.5886, f1 0.7637
acc 0.7999, nmi 0.5638, ari 0.5881, f1 0.7635
acc 0.8001, nmi 0.5643, ari 0.5887, f1 0.7636
acc 0.8001, nmi 0.5641, ari 0.5884, f1 0.7637
acc 0.7997, nmi 0.5636, ari 0.5874, f1 0.7634
acc 0.7995, nmi 0.5630, ari 0.5869, f1 0.7632
acc 0.7990, nmi 0.5624, ari 0.5859, f1 0.7628
acc 0.7990, nmi 0.5628, ari 0.5857, f1 0.7629
acc 0.7988, nmi 0.5624, ari 0.5852, f1 0.7628
acc 0.7983, nmi 0.5614, ari 0.5841, f1 0.7623
acc 0.7979, nmi 0.5614, ari 0.5834, f1 0.7619
acc 0.7974, nmi 0.5607, ari 0.5824, f1 0.7615
acc 0.7971, nmi 0.5603, ari 0.5818, f1 0.7612
acc 0.7966, nmi 0.5598, ari 0.5809, f1 0.7608
acc 0.7959, nmi 0.5585, ari 0.5792, f1 0.7602
acc 0.7956, nmi 0.5580, ari 0.5785, f1 0.7599
acc 0.7950, nmi 0.5569, ari 0.5770, f1 0.7594
acc 0.7945, nmi 0.5561, ari 0.5760, f1 0.7590
acc 0.7942, nmi 0.5558, ari 0.5754, f1 0.7587
acc 0.7943, nmi 0.5563, ari 0.5756, f1 0.7589
acc 0.7941, nmi 0.5562, ari 0.5753, f1 0.7587
acc 0.7941, nmi 0.5561, ari 0.5753, f1 0.7587
acc 0.7936, nmi 0.5557, ari 0.5743, f1 0.7583
acc 0.7930, nmi 0.5542, ari 0.5730, f1 0.7577
acc 0.7927, nmi 0.5540, ari 0.5724, f1 0.7574
acc 0.7920, nmi 0.5527, ari 0.5710, f1 0.7568
acc 0.7921, nmi 0.5528, ari 0.5709, f1 0.7570
acc 0.7921, nmi 0.5523, ari 0.5709, f1 0.7570
acc 0.7918, nmi 0.5518, ari 0.5705, f1 0.7566
acc 0.7916, nmi 0.5517, ari 0.5700, f1 0.7565
acc 0.7916, nmi 0.5515, ari 0.5699, f1 0.7565
acc 0.7913, nmi 0.5508, ari 0.5693, f1 0.7562
acc 0.7906, nmi 0.5498, ari 0.5677, f1 0.7557
acc 0.7904, nmi 0.5497, ari 0.5672, f1 0.7556
acc 0.7901, nmi 0.5492, ari 0.5665, f1 0.7553
acc 0.7899, nmi 0.5489, ari 0.5661, f1 0.7552
acc 0.7898, nmi 0.5487, ari 0.5659, f1 0.7551
acc 0.7896, nmi 0.5484, ari 0.5654, f1 0.7549
acc 0.7896, nmi 0.5484, ari 0.5654, f1 0.7549
acc 0.7895, nmi 0.5483, ari 0.5652, f1 0.7548
acc 0.7889, nmi 0.5475, ari 0.5639, f1 0.7544
acc 0.7888, nmi 0.5473, ari 0.5636, f1 0.7543
acc 0.7884, nmi 0.5469, ari 0.5629, f1 0.7539
acc 0.7884, nmi 0.5469, ari 0.5629, f1 0.7539
acc 0.7884, nmi 0.5470, ari 0.5629, f1 0.7539
acc 0.7884, nmi 0.5474, ari 0.5631, f1 0.7539
acc 0.7883, nmi 0.5471, ari 0.5629, f1 0.7538
acc 0.7883, nmi 0.5471, ari 0.5629, f1 0.7538
acc 0.7879, nmi 0.5470, ari 0.5623, f1 0.7534
acc 0.7874, nmi 0.5464, ari 0.5612, f1 0.7531
acc 0.7875, nmi 0.5462, ari 0.5612, f1 0.7532
acc 0.7876, nmi 0.5458, ari 0.5612, f1 0.7533
acc 0.7879, nmi 0.5464, ari 0.5621, f1 0.7535
acc 0.7875, nmi 0.5458, ari 0.5611, f1 0.7532
acc 0.7874, nmi 0.5460, ari 0.5609, f1 0.7531
acc 0.7870, nmi 0.5456, ari 0.5601, f1 0.7528
acc 0.7872, nmi 0.5458, ari 0.5607, f1 0.7529
acc 0.7870, nmi 0.5455, ari 0.5603, f1 0.7527
acc 0.7865, nmi 0.5444, ari 0.5593, f1 0.7522
acc 0.7869, nmi 0.5450, ari 0.5601, f1 0.7526
acc 0.7870, nmi 0.5454, ari 0.5603, f1 0.7527
acc 0.7864, nmi 0.5443, ari 0.5590, f1 0.7521
acc 0.7860, nmi 0.5436, ari 0.5581, f1 0.7518
acc 0.7860, nmi 0.5434, ari 0.5581, f1 0.7518
acc 0.7860, nmi 0.5435, ari 0.5580, f1 0.7518
acc 0.7860, nmi 0.5432, ari 0.5581, f1 0.7517
acc 0.7859, nmi 0.5430, ari 0.5580, f1 0.7516
acc 0.7859, nmi 0.5430, ari 0.5580, f1 0.7516
acc 0.7858, nmi 0.5431, ari 0.5577, f1 0.7516
acc 0.7860, nmi 0.5434, ari 0.5582, f1 0.7517
acc 0.7860, nmi 0.5432, ari 0.5582, f1 0.7517
acc 0.7858, nmi 0.5427, ari 0.5577, f1 0.7515
acc 0.7857, nmi 0.5426, ari 0.5575, f1 0.7514
acc 0.7859, nmi 0.5430, ari 0.5580, f1 0.7516
acc 0.7860, nmi 0.5433, ari 0.5583, f1 0.7517
acc 0.7858, nmi 0.5431, ari 0.5579, f1 0.7515
acc 0.7854, nmi 0.5424, ari 0.5569, f1 0.7512
acc 0.7851, nmi 0.5421, ari 0.5564, f1 0.7509
acc 0.7851, nmi 0.5421, ari 0.5564, f1 0.7509
acc 0.7848, nmi 0.5416, ari 0.5557, f1 0.7507
acc 0.7845, nmi 0.5412, ari 0.5550, f1 0.7504
acc 0.7844, nmi 0.5411, ari 0.5548, f1 0.7503
acc 0.7844, nmi 0.5411, ari 0.5548, f1 0.7503
acc 0.7843, nmi 0.5410, ari 0.5546, f1 0.7503
acc 0.7843, nmi 0.5410, ari 0.5546, f1 0.7503
acc 0.7844, nmi 0.5411, ari 0.5548, f1 0.7503
acc 0.7843, nmi 0.5410, ari 0.5546, f1 0.7503
acc 0.7842, nmi 0.5410, ari 0.5545, f1 0.7502
acc 0.7843, nmi 0.5410, ari 0.5546, f1 0.7503
acc 0.7842, nmi 0.5410, ari 0.5545, f1 0.7502
acc 0.7842, nmi 0.5410, ari 0.5545, f1 0.7502
acc 0.7841, nmi 0.5408, ari 0.5543, f1 0.7501
