acc 0.6390, nmi 0.6627, ari 0.5730, f1 0.5966
acc 0.6362, nmi 0.6367, ari 0.5408, f1 0.5909
acc 0.6277, nmi 0.6394, ari 0.5404, f1 0.5865
acc 0.6158, nmi 0.6403, ari 0.5347, f1 0.5756
acc 0.6259, nmi 0.6496, ari 0.5504, f1 0.5850
acc 0.6286, nmi 0.6605, ari 0.5615, f1 0.5878
acc 0.6883, nmi 0.6701, ari 0.5803, f1 0.6782
acc 0.6874, nmi 0.6712, ari 0.5804, f1 0.6741
acc 0.6920, nmi 0.6761, ari 0.5861, f1 0.6793
acc 0.6969, nmi 0.6815, ari 0.5936, f1 0.6833
acc 0.7000, nmi 0.6858, ari 0.5973, f1 0.6866
acc 0.7086, nmi 0.6906, ari 0.6070, f1 0.6952
acc 0.7154, nmi 0.6926, ari 0.6107, f1 0.7021
acc 0.7259, nmi 0.6996, ari 0.6209, f1 0.7136
acc 0.7309, nmi 0.7035, ari 0.6265, f1 0.7186
acc 0.7376, nmi 0.7099, ari 0.6323, f1 0.7250
acc 0.7380, nmi 0.7136, ari 0.6343, f1 0.7254
acc 0.7384, nmi 0.7180, ari 0.6374, f1 0.7253
acc 0.7404, nmi 0.7231, ari 0.6410, f1 0.7267
acc 0.7389, nmi 0.7253, ari 0.6418, f1 0.7249
acc 0.7438, nmi 0.7308, ari 0.6482, f1 0.7287
acc 0.7469, nmi 0.7344, ari 0.6518, f1 0.7304
acc 0.7502, nmi 0.7360, ari 0.6544, f1 0.7320
acc 0.7523, nmi 0.7381, ari 0.6569, f1 0.7339
acc 0.7540, nmi 0.7409, ari 0.6601, f1 0.7353
acc 0.7556, nmi 0.7421, ari 0.6616, f1 0.7367
acc 0.7556, nmi 0.7427, ari 0.6616, f1 0.7366
acc 0.7564, nmi 0.7446, ari 0.6629, f1 0.7372
acc 0.7588, nmi 0.7478, ari 0.6658, f1 0.7393
acc 0.7602, nmi 0.7493, ari 0.6675, f1 0.7403
acc 0.7599, nmi 0.7501, ari 0.6675, f1 0.7400
acc 0.7604, nmi 0.7508, ari 0.6683, f1 0.7402
acc 0.7613, nmi 0.7521, ari 0.6698, f1 0.7410
acc 0.7623, nmi 0.7534, ari 0.6715, f1 0.7418
acc 0.7627, nmi 0.7556, ari 0.6731, f1 0.7421
acc 0.7629, nmi 0.7563, ari 0.6737, f1 0.7420
acc 0.7641, nmi 0.7578, ari 0.6762, f1 0.7433
