acc 0.6390, nmi 0.6627, ari 0.5730, f1 0.5966
acc 0.6709, nmi 0.5992, ari 0.5114, f1 0.6271
acc 0.6094, nmi 0.6018, ari 0.4959, f1 0.5624
acc 0.5455, nmi 0.5757, ari 0.4548, f1 0.5001
acc 0.5425, nmi 0.5705, ari 0.4447, f1 0.5012
acc 0.5409, nmi 0.5760, ari 0.4533, f1 0.4964
acc 0.5127, nmi 0.5527, ari 0.4306, f1 0.4625
acc 0.5067, nmi 0.5490, ari 0.4267, f1 0.4566
acc 0.5032, nmi 0.5452, ari 0.4227, f1 0.4519
acc 0.5005, nmi 0.5433, ari 0.4198, f1 0.4495
acc 0.4975, nmi 0.5409, ari 0.4169, f1 0.4472
acc 0.4952, nmi 0.5365, ari 0.4133, f1 0.4448
acc 0.4923, nmi 0.5351, ari 0.4124, f1 0.4412
acc 0.5028, nmi 0.5249, ari 0.4117, f1 0.4591
acc 0.5018, nmi 0.5236, ari 0.4098, f1 0.4583
acc 0.4986, nmi 0.5226, ari 0.4083, f1 0.4557
acc 0.4971, nmi 0.5211, ari 0.4059, f1 0.4546
acc 0.4933, nmi 0.5179, ari 0.4030, f1 0.4512
acc 0.4942, nmi 0.5124, ari 0.3986, f1 0.4522
acc 0.5200, nmi 0.5386, ari 0.4240, f1 0.4810
acc 0.5211, nmi 0.5331, ari 0.4212, f1 0.4840
acc 0.5198, nmi 0.5266, ari 0.4149, f1 0.4836
acc 0.4942, nmi 0.5150, ari 0.4050, f1 0.4514
acc 0.4891, nmi 0.5093, ari 0.4010, f1 0.4446
acc 0.4823, nmi 0.5015, ari 0.3955, f1 0.4377
acc 0.4789, nmi 0.4996, ari 0.3946, f1 0.4359
acc 0.4768, nmi 0.4981, ari 0.3928, f1 0.4334
acc 0.4847, nmi 0.4987, ari 0.3944, f1 0.4404
acc 0.4946, nmi 0.5032, ari 0.3995, f1 0.4490
acc 0.4976, nmi 0.5045, ari 0.4017, f1 0.4428
acc 0.4978, nmi 0.5036, ari 0.4008, f1 0.4428
acc 0.4970, nmi 0.5021, ari 0.4000, f1 0.4458
acc 0.5024, nmi 0.5016, ari 0.4008, f1 0.4515
acc 0.4919, nmi 0.5139, ari 0.4073, f1 0.4377
acc 0.4908, nmi 0.5110, ari 0.4040, f1 0.4402
acc 0.4873, nmi 0.5080, ari 0.4007, f1 0.4379
acc 0.4916, nmi 0.5057, ari 0.3989, f1 0.4335
acc 0.4782, nmi 0.4828, ari 0.3805, f1 0.4144
acc 0.4867, nmi 0.4834, ari 0.3815, f1 0.4225
acc 0.4382, nmi 0.4551, ari 0.3353, f1 0.3751
acc 0.4549, nmi 0.4658, ari 0.3466, f1 0.3844
acc 0.4649, nmi 0.4604, ari 0.3540, f1 0.4002
acc 0.4773, nmi 0.4707, ari 0.3786, f1 0.4085
acc 0.4882, nmi 0.4718, ari 0.3936, f1 0.4169
acc 0.4534, nmi 0.4347, ari 0.3285, f1 0.3932
acc 0.4622, nmi 0.4352, ari 0.3341, f1 0.3976
acc 0.4633, nmi 0.4305, ari 0.3286, f1 0.3995
acc 0.4615, nmi 0.4209, ari 0.3228, f1 0.3959
acc 0.4555, nmi 0.4124, ari 0.3151, f1 0.3902
acc 0.4427, nmi 0.4013, ari 0.2966, f1 0.3812
acc 0.4394, nmi 0.3949, ari 0.2919, f1 0.3791
acc 0.4371, nmi 0.3893, ari 0.2865, f1 0.3760
acc 0.4358, nmi 0.3844, ari 0.2825, f1 0.3737
acc 0.4337, nmi 0.3799, ari 0.2782, f1 0.3713
acc 0.4372, nmi 0.3772, ari 0.2799, f1 0.3732
acc 0.4391, nmi 0.3715, ari 0.2764, f1 0.3739
acc 0.4347, nmi 0.3680, ari 0.2712, f1 0.3700
acc 0.4310, nmi 0.3845, ari 0.2848, f1 0.3890
acc 0.4201, nmi 0.3635, ari 0.2628, f1 0.3707
acc 0.4172, nmi 0.3654, ari 0.2624, f1 0.3665
acc 0.4183, nmi 0.3667, ari 0.2662, f1 0.3653
acc 0.4431, nmi 0.3968, ari 0.2929, f1 0.3972
acc 0.4183, nmi 0.3728, ari 0.2701, f1 0.3683
acc 0.4151, nmi 0.3719, ari 0.2698, f1 0.3653
acc 0.4117, nmi 0.3704, ari 0.2676, f1 0.3621
acc 0.4078, nmi 0.3657, ari 0.2631, f1 0.3583
acc 0.4147, nmi 0.3648, ari 0.2681, f1 0.3644
acc 0.4109, nmi 0.3661, ari 0.2659, f1 0.3632
acc 0.4042, nmi 0.3599, ari 0.2602, f1 0.3571
acc 0.3986, nmi 0.3566, ari 0.2532, f1 0.3425
acc 0.3997, nmi 0.3594, ari 0.2548, f1 0.3443
acc 0.4006, nmi 0.3588, ari 0.2537, f1 0.3454
acc 0.3993, nmi 0.3572, ari 0.2521, f1 0.3439
