0Q :acc 0.8823 , nmi 0.6098 , ari 0.6797 , f1 0.8828
0Z :acc 0.6539 , nmi 0.2627 , ari 0.2819 , f1 0.6503
0P :acc 0.8810 , nmi 0.6054 , ari 0.6767 , f1 0.8814
1Q :acc 0.8826 , nmi 0.6160 , ari 0.6825 , f1 0.8821
1Z :acc 0.6932 , nmi 0.2988 , ari 0.3233 , f1 0.6927
1P :acc 0.8810 , nmi 0.6084 , ari 0.6778 , f1 0.8809
2Q :acc 0.8853 , nmi 0.6240 , ari 0.6891 , f1 0.8848
2Z :acc 0.7269 , nmi 0.3439 , ari 0.3762 , f1 0.7267
2P :acc 0.8823 , nmi 0.6132 , ari 0.6813 , f1 0.8821
3Q :acc 0.8888 , nmi 0.6286 , ari 0.6941 , f1 0.8869
3Z :acc 0.7524 , nmi 0.3822 , ari 0.4201 , f1 0.7520
3P :acc 0.8850 , nmi 0.6201 , ari 0.6880 , f1 0.8847
4Q :acc 0.8883 , nmi 0.6303 , ari 0.6964 , f1 0.8879
4Z :acc 0.7749 , nmi 0.4191 , ari 0.4607 , f1 0.7744
4P :acc 0.8853 , nmi 0.6215 , ari 0.6891 , f1 0.8850
5Q :acc 0.8883 , nmi 0.6301 , ari 0.6965 , f1 0.8879
5Z :acc 0.8046 , nmi 0.4621 , ari 0.5134 , f1 0.8045
5P :acc 0.8866 , nmi 0.6246 , ari 0.6923 , f1 0.8864
6Q :acc 0.8886 , nmi 0.6313 , ari 0.6974 , f1 0.8882
6Z :acc 0.8248 , nmi 0.4983 , ari 0.5543 , f1 0.8249
6P :acc 0.8886 , nmi 0.6302 , ari 0.6973 , f1 0.8884
7Q :acc 0.8909 , nmi 0.6372 , ari 0.7030 , f1 0.8906
7Z :acc 0.8426 , nmi 0.5349 , ari 0.5932 , f1 0.8427
7P :acc 0.8899 , nmi 0.6328 , ari 0.7004 , f1 0.8897
8Q :acc 0.8922 , nmi 0.6410 , ari 0.7064 , f1 0.8919
8Z :acc 0.8582 , nmi 0.5667 , ari 0.6277 , f1 0.8580
8P :acc 0.8912 , nmi 0.6362 , ari 0.7036 , f1 0.8910
9Q :acc 0.8936 , nmi 0.6436 , ari 0.7094 , f1 0.8932
9Z :acc 0.8671 , nmi 0.5858 , ari 0.6480 , f1 0.8668
9P :acc 0.8929 , nmi 0.6412 , ari 0.7079 , f1 0.8927
10Q :acc 0.8949 , nmi 0.6468 , ari 0.7127 , f1 0.8945
10Z :acc 0.8787 , nmi 0.6119 , ari 0.6751 , f1 0.8782
10P :acc 0.8939 , nmi 0.6441 , ari 0.7105 , f1 0.8936
11Q :acc 0.8955 , nmi 0.6491 , ari 0.7146 , f1 0.8952
11Z :acc 0.8850 , nmi 0.6257 , ari 0.6899 , f1 0.8843
11P :acc 0.8945 , nmi 0.6455 , ari 0.7120 , f1 0.8943
12Q :acc 0.8955 , nmi 0.6497 , ari 0.7147 , f1 0.8952
12Z :acc 0.8902 , nmi 0.6375 , ari 0.7024 , f1 0.8896
12P :acc 0.8959 , nmi 0.6488 , ari 0.7153 , f1 0.8956
13Q :acc 0.8962 , nmi 0.6505 , ari 0.7161 , f1 0.8959
13Z :acc 0.8922 , nmi 0.6439 , ari 0.7078 , f1 0.8915
13P :acc 0.8972 , nmi 0.6524 , ari 0.7186 , f1 0.8970
14Q :acc 0.8972 , nmi 0.6530 , ari 0.7185 , f1 0.8970
14Z :acc 0.8979 , nmi 0.6581 , ari 0.7215 , f1 0.8973
14P :acc 0.8965 , nmi 0.6505 , ari 0.7169 , f1 0.8963
15Q :acc 0.8985 , nmi 0.6559 , ari 0.7217 , f1 0.8983
15Z :acc 0.8988 , nmi 0.6609 , ari 0.7240 , f1 0.8983
15P :acc 0.8965 , nmi 0.6502 , ari 0.7169 , f1 0.8964
16Q :acc 0.8988 , nmi 0.6571 , ari 0.7227 , f1 0.8986
16Z :acc 0.9002 , nmi 0.6660 , ari 0.7277 , f1 0.8996
16P :acc 0.8969 , nmi 0.6512 , ari 0.7177 , f1 0.8967
17Q :acc 0.8992 , nmi 0.6573 , ari 0.7234 , f1 0.8990
17Z :acc 0.9002 , nmi 0.6659 , ari 0.7277 , f1 0.8996
17P :acc 0.8955 , nmi 0.6476 , ari 0.7145 , f1 0.8954
18Q :acc 0.8982 , nmi 0.6546 , ari 0.7209 , f1 0.8980
18Z :acc 0.9018 , nmi 0.6708 , ari 0.7318 , f1 0.9013
18P :acc 0.8959 , nmi 0.6482 , ari 0.7152 , f1 0.8957
19Q :acc 0.8988 , nmi 0.6563 , ari 0.7226 , f1 0.8987
19Z :acc 0.9015 , nmi 0.6710 , ari 0.7312 , f1 0.9010
19P :acc 0.8959 , nmi 0.6483 , ari 0.7152 , f1 0.8958
20Q :acc 0.8985 , nmi 0.6560 , ari 0.7219 , f1 0.8984
20Z :acc 0.9035 , nmi 0.6766 , ari 0.7361 , f1 0.9030
20P :acc 0.8962 , nmi 0.6493 , ari 0.7160 , f1 0.8961
21Q :acc 0.8979 , nmi 0.6542 , ari 0.7203 , f1 0.8977
21Z :acc 0.9068 , nmi 0.6871 , ari 0.7448 , f1 0.9062
21P :acc 0.8965 , nmi 0.6497 , ari 0.7168 , f1 0.8965
22Q :acc 0.8975 , nmi 0.6536 , ari 0.7195 , f1 0.8974
22Z :acc 0.9068 , nmi 0.6901 , ari 0.7453 , f1 0.9061
22P :acc 0.8979 , nmi 0.6533 , ari 0.7202 , f1 0.8978
23Q :acc 0.8985 , nmi 0.6563 , ari 0.7220 , f1 0.8984
23Z :acc 0.9074 , nmi 0.6935 , ari 0.7472 , f1 0.9067
23P :acc 0.8982 , nmi 0.6535 , ari 0.7209 , f1 0.8981
24Q :acc 0.8979 , nmi 0.6545 , ari 0.7203 , f1 0.8977
24Z :acc 0.9078 , nmi 0.6943 , ari 0.7479 , f1 0.9071
24P :acc 0.8982 , nmi 0.6537 , ari 0.7208 , f1 0.8982
25Q :acc 0.8982 , nmi 0.6554 , ari 0.7211 , f1 0.8981
25Z :acc 0.9078 , nmi 0.6947 , ari 0.7480 , f1 0.9070
25P :acc 0.8982 , nmi 0.6539 , ari 0.7209 , f1 0.8981
26Q :acc 0.8985 , nmi 0.6564 , ari 0.7220 , f1 0.8984
26Z :acc 0.9074 , nmi 0.6951 , ari 0.7473 , f1 0.9067
26P :acc 0.8975 , nmi 0.6521 , ari 0.7192 , f1 0.8975
27Q :acc 0.8985 , nmi 0.6562 , ari 0.7220 , f1 0.8984
27Z :acc 0.9045 , nmi 0.6905 , ari 0.7404 , f1 0.9036
27P :acc 0.8982 , nmi 0.6536 , ari 0.7208 , f1 0.8982
