pae :acc 0.6050 , nmi 0.3338 , ari 0.3235 , f1 0.5665
0Q :acc 0.6050 , nmi 0.3338 , ari 0.3235 , f1 0.5665
0Z :acc 0.3318 , nmi 0.1440 , ari 0.0908 , f1 0.3036
0P :acc 0.6032 , nmi 0.3297 , ari 0.3261 , f1 0.5701
1Q :acc 0.5723 , nmi 0.3040 , ari 0.2868 , f1 0.5303
1Z :acc 0.3769 , nmi 0.2022 , ari 0.1410 , f1 0.2927
1P :acc 0.5882 , nmi 0.3147 , ari 0.3059 , f1 0.5527
2Q :acc 0.6240 , nmi 0.3486 , ari 0.3486 , f1 0.5846
2Z :acc 0.4331 , nmi 0.2356 , ari 0.1710 , f1 0.3009
2P :acc 0.6225 , nmi 0.3453 , ari 0.3494 , f1 0.5871
3Q :acc 0.6237 , nmi 0.3544 , ari 0.3460 , f1 0.5823
3Z :acc 0.4304 , nmi 0.2637 , ari 0.1674 , f1 0.3366
3P :acc 0.6279 , nmi 0.3547 , ari 0.3567 , f1 0.5916
4Q :acc 0.6342 , nmi 0.3608 , ari 0.3632 , f1 0.5928
4Z :acc 0.4614 , nmi 0.2920 , ari 0.2046 , f1 0.3882
4P :acc 0.6345 , nmi 0.3607 , ari 0.3667 , f1 0.5976
5Q :acc 0.6402 , nmi 0.3623 , ari 0.3721 , f1 0.5998
5Z :acc 0.5062 , nmi 0.3028 , ari 0.2374 , f1 0.4346
5P :acc 0.6369 , nmi 0.3595 , ari 0.3686 , f1 0.6006
6Q :acc 0.6363 , nmi 0.3579 , ari 0.3685 , f1 0.5959
6Z :acc 0.5461 , nmi 0.3092 , ari 0.2724 , f1 0.4659
6P :acc 0.6330 , nmi 0.3544 , ari 0.3637 , f1 0.5968
7Q :acc 0.6378 , nmi 0.3604 , ari 0.3701 , f1 0.5986
7Z :acc 0.5585 , nmi 0.3127 , ari 0.2872 , f1 0.4654
7P :acc 0.6348 , nmi 0.3587 , ari 0.3671 , f1 0.5984
8Q :acc 0.6387 , nmi 0.3632 , ari 0.3722 , f1 0.6003
8Z :acc 0.5344 , nmi 0.3104 , ari 0.2720 , f1 0.4240
8P :acc 0.6381 , nmi 0.3634 , ari 0.3720 , f1 0.6014
9Q :acc 0.6396 , nmi 0.3656 , ari 0.3745 , f1 0.6017
9Z :acc 0.4917 , nmi 0.3030 , ari 0.2394 , f1 0.3762
9P :acc 0.6378 , nmi 0.3640 , ari 0.3724 , f1 0.6011
10Q :acc 0.6402 , nmi 0.3659 , ari 0.3755 , f1 0.6026
10Z :acc 0.4539 , nmi 0.2988 , ari 0.2124 , f1 0.3477
10P :acc 0.6387 , nmi 0.3643 , ari 0.3740 , f1 0.6023
11Q :acc 0.6408 , nmi 0.3668 , ari 0.3768 , f1 0.6037
11Z :acc 0.4530 , nmi 0.2973 , ari 0.1941 , f1 0.3737
11P :acc 0.6405 , nmi 0.3674 , ari 0.3768 , f1 0.6045
12Q :acc 0.6423 , nmi 0.3698 , ari 0.3798 , f1 0.6053
12Z :acc 0.4908 , nmi 0.2961 , ari 0.1968 , f1 0.4070
12P :acc 0.6411 , nmi 0.3685 , ari 0.3775 , f1 0.6057
13Q :acc 0.6420 , nmi 0.3700 , ari 0.3797 , f1 0.6054
13Z :acc 0.5630 , nmi 0.3275 , ari 0.2448 , f1 0.4817
13P :acc 0.6411 , nmi 0.3685 , ari 0.3778 , f1 0.6057
14Q :acc 0.6429 , nmi 0.3707 , ari 0.3805 , f1 0.6065
14Z :acc 0.6234 , nmi 0.3744 , ari 0.3143 , f1 0.5435
14P :acc 0.6423 , nmi 0.3701 , ari 0.3796 , f1 0.6067
15Q :acc 0.6429 , nmi 0.3708 , ari 0.3807 , f1 0.6063
15Z :acc 0.6525 , nmi 0.4013 , ari 0.3583 , f1 0.5743
15P :acc 0.6423 , nmi 0.3708 , ari 0.3803 , f1 0.6064
16Q :acc 0.6447 , nmi 0.3734 , ari 0.3832 , f1 0.6085
16Z :acc 0.6631 , nmi 0.4123 , ari 0.3774 , f1 0.5867
16P :acc 0.6432 , nmi 0.3721 , ari 0.3816 , f1 0.6072
17Q :acc 0.6444 , nmi 0.3730 , ari 0.3825 , f1 0.6083
17Z :acc 0.6670 , nmi 0.4095 , ari 0.3845 , f1 0.5984
17P :acc 0.6432 , nmi 0.3722 , ari 0.3815 , f1 0.6072
18Q :acc 0.6447 , nmi 0.3731 , ari 0.3830 , f1 0.6085
18Z :acc 0.6730 , nmi 0.4119 , ari 0.3971 , f1 0.6107
18P :acc 0.6429 , nmi 0.3720 , ari 0.3811 , f1 0.6071
