0Q :acc 0.8622 , nmi 0.7791 , ari 0.7342 , f1 0.8630
0Z :acc 0.3496 , nmi 0.2778 , ari 0.1116 , f1 0.2597
0P :acc 0.8602 , nmi 0.7743 , ari 0.7302 , f1 0.8610
1Q :acc 0.8369 , nmi 0.7490 , ari 0.6890 , f1 0.8365
1Z :acc 0.4551 , nmi 0.3863 , ari 0.2241 , f1 0.3794
1P :acc 0.8400 , nmi 0.7489 , ari 0.6939 , f1 0.8399
2Q :acc 0.8512 , nmi 0.7656 , ari 0.7135 , f1 0.8520
2Z :acc 0.4364 , nmi 0.3409 , ari 0.1745 , f1 0.3658
2P :acc 0.8506 , nmi 0.7633 , ari 0.7125 , f1 0.8513
3Q :acc 0.8597 , nmi 0.7748 , ari 0.7294 , f1 0.8606
3Z :acc 0.4152 , nmi 0.3136 , ari 0.1415 , f1 0.3461
3P :acc 0.8583 , nmi 0.7717 , ari 0.7263 , f1 0.8592
4Q :acc 0.8606 , nmi 0.7747 , ari 0.7311 , f1 0.8614
4Z :acc 0.4183 , nmi 0.3192 , ari 0.1477 , f1 0.3405
4P :acc 0.8579 , nmi 0.7693 , ari 0.7260 , f1 0.8586
5Q :acc 0.8584 , nmi 0.7712 , ari 0.7271 , f1 0.8591
5Z :acc 0.4352 , nmi 0.3446 , ari 0.1827 , f1 0.3446
5P :acc 0.8565 , nmi 0.7678 , ari 0.7233 , f1 0.8571
6Q :acc 0.8565 , nmi 0.7697 , ari 0.7229 , f1 0.8571
6Z :acc 0.4421 , nmi 0.3798 , ari 0.2290 , f1 0.3495
6P :acc 0.8549 , nmi 0.7658 , ari 0.7193 , f1 0.8555
7Q :acc 0.8512 , nmi 0.7656 , ari 0.7130 , f1 0.8517
7Z :acc 0.4364 , nmi 0.4225 , ari 0.2738 , f1 0.3557
7P :acc 0.8500 , nmi 0.7604 , ari 0.7103 , f1 0.8503
8Q :acc 0.8442 , nmi 0.7591 , ari 0.7002 , f1 0.8444
8Z :acc 0.4553 , nmi 0.4589 , ari 0.3059 , f1 0.3825
8P :acc 0.8460 , nmi 0.7584 , ari 0.7034 , f1 0.8463
9Q :acc 0.8400 , nmi 0.7547 , ari 0.6924 , f1 0.8398
