0Q :acc 0.7956 , nmi 0.5626 , ari 0.5825 , f1 0.6346
0Z :acc 0.3190 , nmi 0.0369 , ari 0.0120 , f1 0.2786
0P :acc 0.7768 , nmi 0.5433 , ari 0.5612 , f1 0.6303
1Q :acc 0.7966 , nmi 0.5661 , ari 0.5843 , f1 0.6354
1Z :acc 0.3218 , nmi 0.0400 , ari 0.0176 , f1 0.2695
1P :acc 0.7808 , nmi 0.5489 , ari 0.5665 , f1 0.6347
2Q :acc 0.7982 , nmi 0.5717 , ari 0.5873 , f1 0.6368
2Z :acc 0.3343 , nmi 0.0478 , ari 0.0265 , f1 0.2874
2P :acc 0.7826 , nmi 0.5519 , ari 0.5693 , f1 0.6380
3Q :acc 0.7985 , nmi 0.5729 , ari 0.5879 , f1 0.6369
3Z :acc 0.3593 , nmi 0.0654 , ari 0.0449 , f1 0.3122
3P :acc 0.7835 , nmi 0.5524 , ari 0.5702 , f1 0.6401
4Q :acc 0.7972 , nmi 0.5702 , ari 0.5845 , f1 0.6358
4Z :acc 0.3873 , nmi 0.0910 , ari 0.0703 , f1 0.3365
4P :acc 0.7830 , nmi 0.5506 , ari 0.5683 , f1 0.6409
5Q :acc 0.7971 , nmi 0.5691 , ari 0.5842 , f1 0.6357
5Z :acc 0.4173 , nmi 0.1151 , ari 0.0938 , f1 0.3681
5P :acc 0.7826 , nmi 0.5497 , ari 0.5671 , f1 0.6412
6Q :acc 0.7971 , nmi 0.5690 , ari 0.5842 , f1 0.6356
6Z :acc 0.4378 , nmi 0.1286 , ari 0.1057 , f1 0.3818
6P :acc 0.7823 , nmi 0.5489 , ari 0.5660 , f1 0.6419
7Q :acc 0.7968 , nmi 0.5684 , ari 0.5833 , f1 0.6353
7Z :acc 0.4615 , nmi 0.1389 , ari 0.1173 , f1 0.3987
7P :acc 0.7823 , nmi 0.5486 , ari 0.5656 , f1 0.6432
8Q :acc 0.7968 , nmi 0.5685 , ari 0.5834 , f1 0.6353
8Z :acc 0.4830 , nmi 0.1461 , ari 0.1277 , f1 0.4147
8P :acc 0.7818 , nmi 0.5475 , ari 0.5642 , f1 0.6428
9Q :acc 0.7967 , nmi 0.5687 , ari 0.5832 , f1 0.6354
9Z :acc 0.5049 , nmi 0.1578 , ari 0.1438 , f1 0.4325
9P :acc 0.7824 , nmi 0.5486 , ari 0.5655 , f1 0.6436
10Q :acc 0.7968 , nmi 0.5694 , ari 0.5835 , f1 0.6356
10Z :acc 0.5236 , nmi 0.1685 , ari 0.1594 , f1 0.4497
10P :acc 0.7835 , nmi 0.5510 , ari 0.5682 , f1 0.6443
11Q :acc 0.7975 , nmi 0.5715 , ari 0.5855 , f1 0.6363
11Z :acc 0.5415 , nmi 0.1817 , ari 0.1749 , f1 0.4658
11P :acc 0.7840 , nmi 0.5523 , ari 0.5695 , f1 0.6448
12Q :acc 0.7982 , nmi 0.5724 , ari 0.5874 , f1 0.6368
12Z :acc 0.5566 , nmi 0.1956 , ari 0.1873 , f1 0.4827
12P :acc 0.7837 , nmi 0.5527 , ari 0.5695 , f1 0.6449
13Q :acc 0.7983 , nmi 0.5729 , ari 0.5879 , f1 0.6369
13Z :acc 0.5678 , nmi 0.2078 , ari 0.1981 , f1 0.4932
13P :acc 0.7841 , nmi 0.5538 , ari 0.5705 , f1 0.6456
14Q :acc 0.7990 , nmi 0.5742 , ari 0.5896 , f1 0.6375
14Z :acc 0.5753 , nmi 0.2145 , ari 0.2035 , f1 0.4992
14P :acc 0.7828 , nmi 0.5523 , ari 0.5692 , f1 0.6445
