acc 0.0000, nmi 0.0000, ari 0.0000, f1 0.0000
acc 0.7078, nmi 0.1780, ari 0.2480, f1 0.4918
acc 0.7103, nmi 0.1808, ari 0.2513, f1 0.4933
acc 0.7106, nmi 0.1812, ari 0.2517, f1 0.4935
acc 0.7115, nmi 0.1825, ari 0.2535, f1 0.4941
acc 0.7079, nmi 0.1782, ari 0.2477, f1 0.4919
acc 0.7108, nmi 0.1817, ari 0.2523, f1 0.4937
acc 0.7111, nmi 0.1821, ari 0.2529, f1 0.4939
acc 0.7116, nmi 0.1827, ari 0.2536, f1 0.4942
acc 0.7180, nmi 0.1927, ari 0.2644, f1 0.4983
acc 0.7211, nmi 0.1977, ari 0.2703, f1 0.5004
acc 0.7185, nmi 0.1936, ari 0.2656, f1 0.4988
acc 0.7213, nmi 0.1984, ari 0.2710, f1 0.5006
acc 0.7187, nmi 0.1938, ari 0.2658, f1 0.4988
acc 0.7192, nmi 0.1948, ari 0.2669, f1 0.4992
acc 0.7278, nmi 0.2091, ari 0.2822, f1 0.5048
acc 0.7280, nmi 0.2095, ari 0.2824, f1 0.5049
acc 0.7283, nmi 0.2102, ari 0.2830, f1 0.5051
acc 0.7282, nmi 0.2104, ari 0.2832, f1 0.5051
acc 0.7285, nmi 0.2105, ari 0.2831, f1 0.5052
acc 0.7291, nmi 0.2114, ari 0.2842, f1 0.5055
acc 0.7295, nmi 0.2121, ari 0.2849, f1 0.5058
acc 0.7297, nmi 0.2126, ari 0.2853, f1 0.5059
acc 0.7301, nmi 0.2133, ari 0.2862, f1 0.5062
acc 0.7308, nmi 0.2143, ari 0.2874, f1 0.5066
acc 0.7307, nmi 0.2142, ari 0.2874, f1 0.5066
acc 0.7308, nmi 0.2144, ari 0.2876, f1 0.5067
acc 0.7309, nmi 0.2146, ari 0.2879, f1 0.5068
acc 0.7316, nmi 0.2158, ari 0.2892, f1 0.5072
acc 0.7320, nmi 0.2164, ari 0.2899, f1 0.5074
acc 0.7324, nmi 0.2171, ari 0.2906, f1 0.5077
acc 0.7349, nmi 0.2202, ari 0.2943, f1 0.5090
acc 0.7353, nmi 0.2208, ari 0.2950, f1 0.5093
acc 0.7355, nmi 0.2212, ari 0.2955, f1 0.5094
acc 0.7356, nmi 0.2214, ari 0.2959, f1 0.5095
acc 0.7376, nmi 0.2241, ari 0.2986, f1 0.5105
acc 0.7376, nmi 0.2239, ari 0.2984, f1 0.5105
acc 0.7375, nmi 0.2236, ari 0.2984, f1 0.5104
acc 0.7407, nmi 0.2298, ari 0.3052, f1 0.5126
acc 0.7408, nmi 0.2298, ari 0.3052, f1 0.5126
acc 0.7414, nmi 0.2308, ari 0.3067, f1 0.5131
acc 0.7415, nmi 0.2310, ari 0.3069, f1 0.5132
acc 0.7413, nmi 0.2305, ari 0.3063, f1 0.5130
acc 0.7414, nmi 0.2308, ari 0.3065, f1 0.5131
acc 0.7415, nmi 0.2312, ari 0.3068, f1 0.5131
acc 0.7429, nmi 0.2349, ari 0.3091, f1 0.5140
acc 0.7420, nmi 0.2322, ari 0.3077, f1 0.5135
acc 0.7436, nmi 0.2359, ari 0.3109, f1 0.5145
acc 0.7444, nmi 0.2396, ari 0.3121, f1 0.5150
acc 0.7439, nmi 0.2366, ari 0.3115, f1 0.5147
acc 0.7459, nmi 0.2486, ari 0.3111, f1 0.5151
acc 0.7462, nmi 0.2493, ari 0.3117, f1 0.5153
acc 0.7468, nmi 0.2504, ari 0.3120, f1 0.5155
acc 0.7474, nmi 0.2521, ari 0.3132, f1 0.5159
acc 0.7479, nmi 0.2529, ari 0.3141, f1 0.5162
acc 0.7479, nmi 0.2533, ari 0.3141, f1 0.5162
acc 0.7487, nmi 0.2548, ari 0.3156, f1 0.5167
acc 0.7490, nmi 0.2555, ari 0.3163, f1 0.5169
acc 0.7490, nmi 0.2553, ari 0.3165, f1 0.5170
acc 0.7492, nmi 0.2559, ari 0.3170, f1 0.5171
acc 0.7493, nmi 0.2565, ari 0.3171, f1 0.5171
acc 0.7497, nmi 0.2625, ari 0.3108, f1 0.5158
acc 0.7499, nmi 0.2629, ari 0.3111, f1 0.5159
acc 0.7497, nmi 0.2627, ari 0.3101, f1 0.5156
acc 0.7494, nmi 0.2621, ari 0.3091, f1 0.5153
acc 0.7497, nmi 0.2624, ari 0.3097, f1 0.5155
acc 0.7494, nmi 0.2624, ari 0.3085, f1 0.5151
acc 0.7495, nmi 0.2630, ari 0.3089, f1 0.5152
acc 0.7497, nmi 0.2634, ari 0.3096, f1 0.5154
acc 0.7502, nmi 0.2638, ari 0.3105, f1 0.5157
acc 0.7502, nmi 0.2640, ari 0.3104, f1 0.5157
acc 0.7503, nmi 0.2643, ari 0.3107, f1 0.5158
acc 0.7502, nmi 0.2647, ari 0.3103, f1 0.5157
acc 0.7508, nmi 0.2656, ari 0.3111, f1 0.5160
acc 0.7509, nmi 0.2659, ari 0.3114, f1 0.5161
acc 0.7511, nmi 0.2663, ari 0.3118, f1 0.5162
acc 0.7509, nmi 0.2659, ari 0.3117, f1 0.5161
acc 0.7510, nmi 0.2661, ari 0.3120, f1 0.5162
acc 0.7512, nmi 0.2664, ari 0.3124, f1 0.5163
acc 0.7512, nmi 0.2665, ari 0.3125, f1 0.5164
acc 0.7512, nmi 0.2665, ari 0.3125, f1 0.5164
acc 0.7512, nmi 0.2665, ari 0.3124, f1 0.5163
acc 0.7512, nmi 0.2664, ari 0.3122, f1 0.5163
acc 0.7512, nmi 0.2666, ari 0.3123, f1 0.5163
acc 0.7513, nmi 0.2665, ari 0.3125, f1 0.5164
acc 0.7517, nmi 0.2671, ari 0.3134, f1 0.5166
acc 0.7515, nmi 0.2668, ari 0.3130, f1 0.5165
acc 0.7519, nmi 0.2676, ari 0.3139, f1 0.5168
acc 0.7517, nmi 0.2680, ari 0.3123, f1 0.5164
acc 0.7517, nmi 0.2685, ari 0.3122, f1 0.5163
acc 0.7516, nmi 0.2683, ari 0.3118, f1 0.5162
acc 0.7512, nmi 0.2678, ari 0.3106, f1 0.5159
acc 0.7515, nmi 0.2680, ari 0.3114, f1 0.5161
acc 0.7509, nmi 0.2673, ari 0.3098, f1 0.5156
acc 0.7509, nmi 0.2670, ari 0.3096, f1 0.5155
acc 0.7510, nmi 0.2671, ari 0.3098, f1 0.5156
acc 0.7513, nmi 0.2676, ari 0.3105, f1 0.5158
acc 0.7506, nmi 0.2665, ari 0.3081, f1 0.5151
acc 0.7506, nmi 0.2663, ari 0.3081, f1 0.5151
acc 0.7507, nmi 0.2663, ari 0.3082, f1 0.5152
acc 0.7509, nmi 0.2668, ari 0.3088, f1 0.5153
acc 0.7511, nmi 0.2669, ari 0.3091, f1 0.5155
acc 0.7511, nmi 0.2670, ari 0.3093, f1 0.5155
acc 0.7509, nmi 0.2664, ari 0.3087, f1 0.5153
acc 0.7498, nmi 0.2653, ari 0.3056, f1 0.5144
acc 0.7498, nmi 0.2649, ari 0.3053, f1 0.5143
acc 0.7503, nmi 0.2654, ari 0.3066, f1 0.5147
acc 0.7490, nmi 0.2645, ari 0.3031, f1 0.5136
acc 0.7489, nmi 0.2646, ari 0.3028, f1 0.5135
acc 0.7487, nmi 0.2644, ari 0.3023, f1 0.5134
acc 0.7487, nmi 0.2642, ari 0.3020, f1 0.5133
acc 0.7485, nmi 0.2641, ari 0.3017, f1 0.5132
acc 0.7487, nmi 0.2643, ari 0.3021, f1 0.5133
acc 0.7488, nmi 0.2643, ari 0.3023, f1 0.5134
acc 0.7496, nmi 0.2650, ari 0.3044, f1 0.5140
acc 0.7488, nmi 0.2644, ari 0.3023, f1 0.5134
acc 0.7499, nmi 0.2655, ari 0.3051, f1 0.5142
acc 0.7506, nmi 0.2662, ari 0.3068, f1 0.5148
acc 0.7507, nmi 0.2663, ari 0.3071, f1 0.5149
acc 0.7506, nmi 0.2661, ari 0.3066, f1 0.5147
acc 0.7507, nmi 0.2663, ari 0.3070, f1 0.5148
acc 0.7506, nmi 0.2662, ari 0.3066, f1 0.5147
acc 0.7506, nmi 0.2662, ari 0.3068, f1 0.5148
acc 0.7506, nmi 0.2662, ari 0.3066, f1 0.5147
acc 0.7510, nmi 0.2669, ari 0.3076, f1 0.5150
acc 0.7510, nmi 0.2671, ari 0.3075, f1 0.5150
acc 0.7492, nmi 0.2651, ari 0.3032, f1 0.5137
acc 0.7492, nmi 0.2650, ari 0.3032, f1 0.5136
acc 0.7494, nmi 0.2653, ari 0.3037, f1 0.5138
acc 0.7495, nmi 0.2655, ari 0.3040, f1 0.5139
acc 0.7496, nmi 0.2655, ari 0.3042, f1 0.5139
acc 0.7498, nmi 0.2658, ari 0.3047, f1 0.5141
acc 0.7499, nmi 0.2660, ari 0.3050, f1 0.5142
acc 0.7503, nmi 0.2664, ari 0.3056, f1 0.5144
acc 0.7504, nmi 0.2666, ari 0.3058, f1 0.5145
acc 0.7506, nmi 0.2669, ari 0.3063, f1 0.5146
acc 0.7512, nmi 0.2679, ari 0.3078, f1 0.5151
acc 0.7514, nmi 0.2680, ari 0.3081, f1 0.5152
acc 0.7518, nmi 0.2686, ari 0.3092, f1 0.5155
acc 0.7522, nmi 0.2691, ari 0.3104, f1 0.5159
acc 0.7523, nmi 0.2693, ari 0.3106, f1 0.5160
acc 0.7527, nmi 0.2698, ari 0.3114, f1 0.5162
acc 0.7530, nmi 0.2702, ari 0.3121, f1 0.5164
acc 0.7533, nmi 0.2706, ari 0.3128, f1 0.5166
acc 0.7528, nmi 0.2699, ari 0.3116, f1 0.5163
