0 :acc 0.0000 , nmi 0.0000 , ari 0.0000 , f1 0.0000
0 :acc 0.8251 , nmi 0.5127 , ari 0.5562 , f1 0.8254
1 :acc 0.8998 , nmi 0.6696 , ari 0.7272 , f1 0.8998
2 :acc 0.9064 , nmi 0.6860 , ari 0.7447 , f1 0.9057
3 :acc 0.8992 , nmi 0.6673 , ari 0.7259 , f1 0.8989
4 :acc 0.9055 , nmi 0.6831 , ari 0.7416 , f1 0.9051
5 :acc 0.9144 , nmi 0.7043 , ari 0.7640 , f1 0.9139
6 :acc 0.9207 , nmi 0.7168 , ari 0.7789 , f1 0.9206
7 :acc 0.9246 , nmi 0.7290 , ari 0.7893 , f1 0.9245
8 :acc 0.9316 , nmi 0.7489 , ari 0.8074 , f1 0.9315
9 :acc 0.9326 , nmi 0.7542 , ari 0.8103 , f1 0.9323
10 :acc 0.9369 , nmi 0.7657 , ari 0.8215 , f1 0.9367
11 :acc 0.9382 , nmi 0.7701 , ari 0.8250 , f1 0.9382
12 :acc 0.9388 , nmi 0.7724 , ari 0.8267 , f1 0.9389
13 :acc 0.9375 , nmi 0.7687 , ari 0.8233 , f1 0.9375 
14 :acc 0.9372 , nmi 0.7686 , ari 0.8225 , f1 0.9371 
15 :acc 0.9372 , nmi 0.7692 , ari 0.8226 , f1 0.9372 
16 :acc 0.9385 , nmi 0.7735 , ari 0.8260 , f1 0.9386 
17 :acc 0.9382 , nmi 0.7723 , ari 0.8251 , f1 0.9382 
18 :acc 0.9388 , nmi 0.7749 , ari 0.8269 , f1 0.9389 
19 :acc 0.9398 , nmi 0.7777 , ari 0.8295 , f1 0.9399 
20 :acc 0.9398 , nmi 0.7776 , ari 0.8296 , f1 0.9399 
21 :acc 0.9395 , nmi 0.7768 , ari 0.8287 , f1 0.9396 
22 :acc 0.9388 , nmi 0.7743 , ari 0.8269 , f1 0.9389 
23 :acc 0.9398 , nmi 0.7783 , ari 0.8296 , f1 0.9399 
24 :acc 0.9395 , nmi 0.7766 , ari 0.8287 , f1 0.9396 
25 :acc 0.9388 , nmi 0.7760 , ari 0.8270 , f1 0.9389 
26 :acc 0.9388 , nmi 0.7753 , ari 0.8270 , f1 0.9389 
27 :acc 0.9385 , nmi 0.7737 , ari 0.8260 , f1 0.9386 
28 :acc 0.9382 , nmi 0.7743 , ari 0.8253 , f1 0.9383 
29 :acc 0.9395 , nmi 0.7771 , ari 0.8287 , f1 0.9396 
30 :acc 0.9398 , nmi 0.7768 , ari 0.8294 , f1 0.9400 
31 :acc 0.9408 , nmi 0.7799 , ari 0.8321 , f1 0.9410 
32 :acc 0.9415 , nmi 0.7809 , ari 0.8338 , f1 0.9416 
33 :acc 0.9402 , nmi 0.7780 , ari 0.8303 , f1 0.9403 
34 :acc 0.9402 , nmi 0.7776 , ari 0.8303 , f1 0.9403 
35 :acc 0.9405 , nmi 0.7783 , ari 0.8312 , f1 0.9406 
36 :acc 0.9412 , nmi 0.7800 , ari 0.8329 , f1 0.9413 
37 :acc 0.9412 , nmi 0.7808 , ari 0.8330 , f1 0.9413 
38 :acc 0.9408 , nmi 0.7795 , ari 0.8320 , f1 0.9410 
39 :acc 0.9405 , nmi 0.7782 , ari 0.8311 , f1 0.9407 
40 :acc 0.9402 , nmi 0.7775 , ari 0.8302 , f1 0.9403 
41 :acc 0.9388 , nmi 0.7733 , ari 0.8267 , f1 0.9390 
42 :acc 0.9395 , nmi 0.7753 , ari 0.8285 , f1 0.9397 
43 :acc 0.9385 , nmi 0.7720 , ari 0.8258 , f1 0.9387 
44 :acc 0.9385 , nmi 0.7717 , ari 0.8257 , f1 0.9387 
45 :acc 0.9379 , nmi 0.7695 , ari 0.8240 , f1 0.9380 
46 :acc 0.9385 , nmi 0.7719 , ari 0.8257 , f1 0.9387 
47 :acc 0.9365 , nmi 0.7663 , ari 0.8205 , f1 0.9368 
48 :acc 0.9365 , nmi 0.7661 , ari 0.8205 , f1 0.9367 
49 :acc 0.9375 , nmi 0.7693 , ari 0.8231 , f1 0.9378 
50 :acc 0.9369 , nmi 0.7677 , ari 0.8214 , f1 0.9371 
51 :acc 0.9359 , nmi 0.7646 , ari 0.8187 , f1 0.9361 
52 :acc 0.9365 , nmi 0.7665 , ari 0.8205 , f1 0.9368 
53 :acc 0.9372 , nmi 0.7685 , ari 0.8223 , f1 0.9374 
54 :acc 0.9359 , nmi 0.7645 , ari 0.8187 , f1 0.9362 
55 :acc 0.9359 , nmi 0.7645 , ari 0.8187 , f1 0.9362 
56 :acc 0.9359 , nmi 0.7644 , ari 0.8187 , f1 0.9361 
57 :acc 0.9359 , nmi 0.7644 , ari 0.8187 , f1 0.9361 
58 :acc 0.9352 , nmi 0.7625 , ari 0.8169 , f1 0.9355 
59 :acc 0.9352 , nmi 0.7625 , ari 0.8169 , f1 0.9355 
60 :acc 0.9359 , nmi 0.7646 , ari 0.8187 , f1 0.9362 
61 :acc 0.9352 , nmi 0.7626 , ari 0.8170 , f1 0.9355 
