acc 0.0000, nmi 0.0000 , ari 0.0000 , f1 0.0000
acc 0.5837, nmi 0.3029, ari 0.3065, f1 0.5433
acc 0.5930, nmi 0.3131, ari 0.3186, f1 0.5508
acc 0.5984, nmi 0.3175, ari 0.3247, f1 0.5564
acc 0.6041, nmi 0.3245, ari 0.3321, f1 0.5621
acc 0.6102, nmi 0.3317, ari 0.3398, f1 0.5678
acc 0.6138, nmi 0.3362, ari 0.3437, f1 0.5720
acc 0.6171, nmi 0.3407, ari 0.3477, f1 0.5761
acc 0.6210, nmi 0.3446, ari 0.3518, f1 0.5796
acc 0.6270, nmi 0.3571, ari 0.3607, f1 0.5902
acc 0.6258, nmi 0.3579, ari 0.3606, f1 0.5889
acc 0.6366, nmi 0.3703, ari 0.3699, f1 0.5974
acc 0.6390, nmi 0.3748, ari 0.3746, f1 0.5988
acc 0.6402, nmi 0.3778, ari 0.3765, f1 0.5997
acc 0.6339, nmi 0.3787, ari 0.3733, f1 0.6065
acc 0.6387, nmi 0.3844, ari 0.3805, f1 0.6084
acc 0.6390, nmi 0.3825, ari 0.3798, f1 0.6077
acc 0.6426, nmi 0.3880, ari 0.3854, f1 0.6106
acc 0.6447, nmi 0.3902, ari 0.3888, f1 0.6124
acc 0.6429, nmi 0.3963, ari 0.3915, f1 0.6179
acc 0.6453, nmi 0.3979, ari 0.3941, f1 0.6197
acc 0.6492, nmi 0.4009, ari 0.3985, f1 0.6231
acc 0.6498, nmi 0.4024, ari 0.4007, f1 0.6233
acc 0.6525, nmi 0.4052, ari 0.4051, f1 0.6249
acc 0.6543, nmi 0.4053, ari 0.4064, f1 0.6268
acc 0.6573, nmi 0.4045, ari 0.4080, f1 0.6296
acc 0.6613, nmi 0.4093, ari 0.4135, f1 0.6335
acc 0.6634, nmi 0.4082, ari 0.4154, f1 0.6350
acc 0.6634, nmi 0.4081, ari 0.4167, f1 0.6338
acc 0.6655, nmi 0.4102, ari 0.4196, f1 0.6356
acc 0.6724, nmi 0.4168, ari 0.4292, f1 0.6409
acc 0.6709, nmi 0.4159, ari 0.4268, f1 0.6402
acc 0.6715, nmi 0.4170, ari 0.4286, f1 0.6403
acc 0.6724, nmi 0.4201, ari 0.4313, f1 0.6411
