0 :acc 0.0000 , nmi 0.0000 , ari 0.0000 , f1 0.0000
0 :acc 0.6479 , nmi 0.6597 , ari 0.5297 , f1 0.6112
1 :acc 0.6526 , nmi 0.6711 , ari 0.5373 , f1 0.6155 
2 :acc 0.5884 , nmi 0.6127 , ari 0.4432 , f1 0.5588 
3 :acc 0.7252 , nmi 0.6585 , ari 0.5647 , f1 0.7197 
4 :acc 0.5946 , nmi 0.5913 , ari 0.4678 , f1 0.5820 
5 :acc 0.5957 , nmi 0.5883 , ari 0.4644 , f1 0.5842 
6 :acc 0.5973 , nmi 0.5892 , ari 0.4666 , f1 0.5860 
7 :acc 0.6030 , nmi 0.5967 , ari 0.4743 , f1 0.5911 
8 :acc 0.5923 , nmi 0.6201 , ari 0.4601 , f1 0.5434 
9 :acc 0.7459 , nmi 0.6742 , ari 0.5866 , f1 0.7409 
10 :acc 0.7540 , nmi 0.6755 , ari 0.5884 , f1 0.7495
11 :acc 0.7692 , nmi 0.6776 , ari 0.5955 , f1 0.7646
12 :acc 0.7632 , nmi 0.6643 , ari 0.5837 , f1 0.7557
13 :acc 0.7794 , nmi 0.6759 , ari 0.6038 , f1 0.7717
14 :acc 0.7900 , nmi 0.6867 , ari 0.6191 , f1 0.7819
15 :acc 0.8070 , nmi 0.7048 , ari 0.6418 , f1 0.8005
16 :acc 0.8082 , nmi 0.7061 , ari 0.6439 , f1 0.8016
17 :acc 0.8104 , nmi 0.7083 , ari 0.6470 , f1 0.8038
18 :acc 0.8134 , nmi 0.7117 , ari 0.6512 , f1 0.8072
19 :acc 0.8181 , nmi 0.7167 , ari 0.6583 , f1 0.8125
20 :acc 0.8174 , nmi 0.7168 , ari 0.6572 , f1 0.8123
21 :acc 0.8158 , nmi 0.7157 , ari 0.6550 , f1 0.8110
22 :acc 0.8160 , nmi 0.7172 , ari 0.6556 , f1 0.8116
23 :acc 0.8150 , nmi 0.7171 , ari 0.6541 , f1 0.8109
24 :acc 0.8129 , nmi 0.7160 , ari 0.6512 , f1 0.8090
25 :acc 0.8136 , nmi 0.7170 , ari 0.6518 , f1 0.8102
26 :acc 0.8180 , nmi 0.7211 , ari 0.6583 , f1 0.8152
27 :acc 0.8187 , nmi 0.7216 , ari 0.6595 , f1 0.8160
28 :acc 0.8219 , nmi 0.7250 , ari 0.6646 , f1 0.8194
29 :acc 0.8247 , nmi 0.7284 , ari 0.6694 , f1 0.8223
30 :acc 0.8281 , nmi 0.7325 , ari 0.6748 , f1 0.8260
31 :acc 0.8309 , nmi 0.7357 , ari 0.6792 , f1 0.8289
32 :acc 0.8360 , nmi 0.7407 , ari 0.6871 , f1 0.8338
33 :acc 0.8391 , nmi 0.7443 , ari 0.6921 , f1 0.8371
34 :acc 0.8431 , nmi 0.7495 , ari 0.6988 , f1 0.8413
35 :acc 0.8455 , nmi 0.7530 , ari 0.7029 , f1 0.8438
36 :acc 0.8478 , nmi 0.7566 , ari 0.7069 , f1 0.8463
37 :acc 0.8493 , nmi 0.7583 , ari 0.7092 , f1 0.8480
38 :acc 0.8519 , nmi 0.7614 , ari 0.7132 , f1 0.8509
39 :acc 0.8531 , nmi 0.7639 , ari 0.7154 , f1 0.8521
40 :acc 0.8548 , nmi 0.7670 , ari 0.7188 , f1 0.8540
41 :acc 0.8564 , nmi 0.7698 , ari 0.7218 , f1 0.8558
42 :acc 0.8563 , nmi 0.7713 , ari 0.7223 , f1 0.8559
43 :acc 0.8563 , nmi 0.7728 , ari 0.7231 , f1 0.8560
44 :acc 0.8567 , nmi 0.7746 , ari 0.7242 , f1 0.8565
45 :acc 0.8568 , nmi 0.7753 , ari 0.7246 , f1 0.8567
46 :acc 0.8574 , nmi 0.7764 , ari 0.7256 , f1 0.8574
47 :acc 0.8578 , nmi 0.7772 , ari 0.7266 , f1 0.8578
48 :acc 0.8574 , nmi 0.7773 , ari 0.7262 , f1 0.8575
49 :acc 0.8578 , nmi 0.7787 , ari 0.7274 , f1 0.8580
50 :acc 0.8583 , nmi 0.7796 , ari 0.7285 , f1 0.8586
51 :acc 0.8587 , nmi 0.7810 , ari 0.7296 , f1 0.8592
52 :acc 0.8590 , nmi 0.7824 , ari 0.7305 , f1 0.8595
53 :acc 0.8594 , nmi 0.7830 , ari 0.7315 , f1 0.8599
54 :acc 0.8608 , nmi 0.7859 , ari 0.7341 , f1 0.8614
55 :acc 0.8611 , nmi 0.7875 , ari 0.7352 , f1 0.8618
56 :acc 0.8614 , nmi 0.7883 , ari 0.7362 , f1 0.8623
57 :acc 0.8608 , nmi 0.7888 , ari 0.7358 , f1 0.8616
58 :acc 0.8615 , nmi 0.7899 , ari 0.7375 , f1 0.8624
59 :acc 0.8624 , nmi 0.7923 , ari 0.7398 , f1 0.8635
60 :acc 0.8629 , nmi 0.7930 , ari 0.7408 , f1 0.8639
61 :acc 0.8637 , nmi 0.7949 , ari 0.7425 , f1 0.8648
62 :acc 0.8645 , nmi 0.7969 , ari 0.7446 , f1 0.8659
63 :acc 0.8642 , nmi 0.7963 , ari 0.7439 , f1 0.8654
64 :acc 0.8652 , nmi 0.7985 , ari 0.7461 , f1 0.8666
65 :acc 0.8647 , nmi 0.7984 , ari 0.7458 , f1 0.8662
66 :acc 0.8651 , nmi 0.7997 , ari 0.7467 , f1 0.8666
67 :acc 0.8653 , nmi 0.8002 , ari 0.7471 , f1 0.8669
68 :acc 0.8661 , nmi 0.8013 , ari 0.7486 , f1 0.8677
69 :acc 0.8668 , nmi 0.8029 , ari 0.7499 , f1 0.8684
70 :acc 0.8672 , nmi 0.8037 , ari 0.7509 , f1 0.8689
71 :acc 0.8674 , nmi 0.8044 , ari 0.7514 , f1 0.8690
72 :acc 0.8678 , nmi 0.8050 , ari 0.7520 , f1 0.8695
73 :acc 0.8679 , nmi 0.8060 , ari 0.7527 , f1 0.8697
74 :acc 0.8676 , nmi 0.8065 , ari 0.7525 , f1 0.8693
75 :acc 0.8683 , nmi 0.8076 , ari 0.7539 , f1 0.8701
76 :acc 0.8684 , nmi 0.8080 , ari 0.7543 , f1 0.8702
77 :acc 0.8691 , nmi 0.8096 , ari 0.7557 , f1 0.8710
78 :acc 0.8697 , nmi 0.8108 , ari 0.7568 , f1 0.8717
79 :acc 0.8701 , nmi 0.8122 , ari 0.7577 , f1 0.8721
80 :acc 0.8702 , nmi 0.8124 , ari 0.7579 , f1 0.8723
81 :acc 0.8702 , nmi 0.8125 , ari 0.7580 , f1 0.8723
82 :acc 0.8702 , nmi 0.8127 , ari 0.7581 , f1 0.8723
83 :acc 0.8709 , nmi 0.8136 , ari 0.7592 , f1 0.8730
84 :acc 0.8708 , nmi 0.8149 , ari 0.7599 , f1 0.8730
85 :acc 0.8719 , nmi 0.8159 , ari 0.7614 , f1 0.8743
86 :acc 0.8711 , nmi 0.8159 , ari 0.7606 , f1 0.8734
87 :acc 0.8716 , nmi 0.8153 , ari 0.7611 , f1 0.8741
88 :acc 0.8703 , nmi 0.8158 , ari 0.7598 , f1 0.8725
89 :acc 0.8720 , nmi 0.8162 , ari 0.7618 , f1 0.8745
90 :acc 0.8717 , nmi 0.8169 , ari 0.7619 , f1 0.8742
91 :acc 0.8712 , nmi 0.8178 , ari 0.7615 , f1 0.8736
92 :acc 0.8722 , nmi 0.8171 , ari 0.7624 , f1 0.8747
93 :acc 0.8720 , nmi 0.8171 , ari 0.7624 , f1 0.8746
94 :acc 0.8720 , nmi 0.8191 , ari 0.7629 , f1 0.8746
95 :acc 0.8729 , nmi 0.8194 , ari 0.7639 , f1 0.8755
96 :acc 0.8730 , nmi 0.8188 , ari 0.7641 , f1 0.8757
97 :acc 0.8725 , nmi 0.8188 , ari 0.7636 , f1 0.8752
98 :acc 0.8726 , nmi 0.8199 , ari 0.7640 , f1 0.8753
99 :acc 0.8731 , nmi 0.8202 , ari 0.7647 , f1 0.8758
100 :acc 0.8730 , nmi 0.8195 , ari 0.7645 , f1 0.8757 
101 :acc 0.8732 , nmi 0.8206 , ari 0.7649 , f1 0.8759 
102 :acc 0.8733 , nmi 0.8206 , ari 0.7651 , f1 0.8760 
103 :acc 0.8738 , nmi 0.8213 , ari 0.7660 , f1 0.8766 
104 :acc 0.8729 , nmi 0.8203 , ari 0.7649 , f1 0.8757 
105 :acc 0.8732 , nmi 0.8214 , ari 0.7655 , f1 0.8760 
106 :acc 0.8731 , nmi 0.8213 , ari 0.7654 , f1 0.8759 
107 :acc 0.8733 , nmi 0.8213 , ari 0.7658 , f1 0.8761 
108 :acc 0.8743 , nmi 0.8232 , ari 0.7676 , f1 0.8773 
109 :acc 0.8734 , nmi 0.8222 , ari 0.7661 , f1 0.8763 
110 :acc 0.8732 , nmi 0.8222 , ari 0.7660 , f1 0.8761 
111 :acc 0.8743 , nmi 0.8236 , ari 0.7678 , f1 0.8774 
112 :acc 0.8741 , nmi 0.8234 , ari 0.7676 , f1 0.8771 
113 :acc 0.8739 , nmi 0.8239 , ari 0.7675 , f1 0.8769 
114 :acc 0.8746 , nmi 0.8245 , ari 0.7685 , f1 0.8777 
115 :acc 0.8746 , nmi 0.8251 , ari 0.7690 , f1 0.8778 
116 :acc 0.8746 , nmi 0.8251 , ari 0.7688 , f1 0.8777 
117 :acc 0.8746 , nmi 0.8256 , ari 0.7690 , f1 0.8778 
118 :acc 0.8749 , nmi 0.8260 , ari 0.7697 , f1 0.8782 
119 :acc 0.8749 , nmi 0.8261 , ari 0.7698 , f1 0.8782 
120 :acc 0.8750 , nmi 0.8266 , ari 0.7700 , f1 0.8784 
121 :acc 0.8754 , nmi 0.8272 , ari 0.7707 , f1 0.8788 
