0 :acc 0.0000 , nmi 0.0000 , ari 0.0000 , f1 0.0000
0 :acc 0.5902 , nmi 0.4045 , ari 0.2912 , f1 0.5132
1 :acc 0.8019 , nmi 0.5386 , ari 0.5941 , f1 0.7536 
2 :acc 0.8091 , nmi 0.5538 , ari 0.6063 , f1 0.7659 
3 :acc 0.8181 , nmi 0.5760 , ari 0.6259 , f1 0.7758 
4 :acc 0.8258 , nmi 0.5948 , ari 0.6452 , f1 0.7830 
5 :acc 0.8306 , nmi 0.6114 , ari 0.6589 , f1 0.7877 
6 :acc 0.8337 , nmi 0.6217 , ari 0.6655 , f1 0.7917 
7 :acc 0.8319 , nmi 0.6189 , ari 0.6612 , f1 0.7903 
8 :acc 0.8306 , nmi 0.6177 , ari 0.6582 , f1 0.7895 
9 :acc 0.8328 , nmi 0.6236 , ari 0.6634 , f1 0.7917 
10 :acc 0.8323 , nmi 0.6248 , ari 0.6645 , f1 0.7908
11 :acc 0.8324 , nmi 0.6268 , ari 0.6649 , f1 0.7911
12 :acc 0.8320 , nmi 0.6271 , ari 0.6641 , f1 0.7907
13 :acc 0.8297 , nmi 0.6246 , ari 0.6594 , f1 0.7888
14 :acc 0.8279 , nmi 0.6226 , ari 0.6561 , f1 0.7871
15 :acc 0.8279 , nmi 0.6245 , ari 0.6564 , f1 0.7872
16 :acc 0.8277 , nmi 0.6245 , ari 0.6558 , f1 0.7871
17 :acc 0.8273 , nmi 0.6236 , ari 0.6549 , f1 0.7868
18 :acc 0.8269 , nmi 0.6227 , ari 0.6542 , f1 0.7864
19 :acc 0.8274 , nmi 0.6237 , ari 0.6550 , f1 0.7869
20 :acc 0.8272 , nmi 0.6232 , ari 0.6547 , f1 0.7867
21 :acc 0.8266 , nmi 0.6225 , ari 0.6532 , f1 0.7863
22 :acc 0.8266 , nmi 0.6224 , ari 0.6531 , f1 0.7863
23 :acc 0.8265 , nmi 0.6224 , ari 0.6529 , f1 0.7862
24 :acc 0.8263 , nmi 0.6219 , ari 0.6522 , f1 0.7861
25 :acc 0.8261 , nmi 0.6214 , ari 0.6515 , f1 0.7860
26 :acc 0.8257 , nmi 0.6203 , ari 0.6506 , f1 0.7856
27 :acc 0.8252 , nmi 0.6198 , ari 0.6497 , f1 0.7851
28 :acc 0.8253 , nmi 0.6198 , ari 0.6496 , f1 0.7853
29 :acc 0.8257 , nmi 0.6207 , ari 0.6504 , f1 0.7857
30 :acc 0.8257 , nmi 0.6206 , ari 0.6502 , f1 0.7857
31 :acc 0.8248 , nmi 0.6189 , ari 0.6483 , f1 0.7848
32 :acc 0.8248 , nmi 0.6194 , ari 0.6485 , f1 0.7848
33 :acc 0.8250 , nmi 0.6200 , ari 0.6488 , f1 0.7851
34 :acc 0.8246 , nmi 0.6196 , ari 0.6482 , f1 0.7846
35 :acc 0.8244 , nmi 0.6195 , ari 0.6475 , f1 0.7846
36 :acc 0.8242 , nmi 0.6189 , ari 0.6470 , f1 0.7844
37 :acc 0.8243 , nmi 0.6194 , ari 0.6472 , f1 0.7845
38 :acc 0.8245 , nmi 0.6195 , ari 0.6475 , f1 0.7847
39 :acc 0.8245 , nmi 0.6195 , ari 0.6475 , f1 0.7847
40 :acc 0.8243 , nmi 0.6192 , ari 0.6470 , f1 0.7845
41 :acc 0.8240 , nmi 0.6185 , ari 0.6462 , f1 0.7843
42 :acc 0.8236 , nmi 0.6177 , ari 0.6453 , f1 0.7839
43 :acc 0.8239 , nmi 0.6182 , ari 0.6458 , f1 0.7842
44 :acc 0.8239 , nmi 0.6183 , ari 0.6458 , f1 0.7842
45 :acc 0.8238 , nmi 0.6180 , ari 0.6457 , f1 0.7841
46 :acc 0.8233 , nmi 0.6176 , ari 0.6449 , f1 0.7836
47 :acc 0.8235 , nmi 0.6176 , ari 0.6451 , f1 0.7838
48 :acc 0.8235 , nmi 0.6181 , ari 0.6453 , f1 0.7838
49 :acc 0.8234 , nmi 0.6170 , ari 0.6448 , f1 0.7837
50 :acc 0.8234 , nmi 0.6170 , ari 0.6449 , f1 0.7837
51 :acc 0.8236 , nmi 0.6181 , ari 0.6456 , f1 0.7838
52 :acc 0.8236 , nmi 0.6177 , ari 0.6454 , f1 0.7838
53 :acc 0.8237 , nmi 0.6180 , ari 0.6456 , f1 0.7840
54 :acc 0.8237 , nmi 0.6180 , ari 0.6459 , f1 0.7839
55 :acc 0.8235 , nmi 0.6177 , ari 0.6453 , f1 0.7838
56 :acc 0.8235 , nmi 0.6175 , ari 0.6452 , f1 0.7838
57 :acc 0.8236 , nmi 0.6179 , ari 0.6455 , f1 0.7838
58 :acc 0.8236 , nmi 0.6179 , ari 0.6455 , f1 0.7838
59 :acc 0.8233 , nmi 0.6173 , ari 0.6450 , f1 0.7835
60 :acc 0.8235 , nmi 0.6176 , ari 0.6454 , f1 0.7837
61 :acc 0.8234 , nmi 0.6175 , ari 0.6452 , f1 0.7836
62 :acc 0.8233 , nmi 0.6173 , ari 0.6450 , f1 0.7835
63 :acc 0.8234 , nmi 0.6175 , ari 0.6452 , f1 0.7836
64 :acc 0.8233 , nmi 0.6174 , ari 0.6451 , f1 0.7835
65 :acc 0.8233 , nmi 0.6173 , ari 0.6449 , f1 0.7835
66 :acc 0.8231 , nmi 0.6171 , ari 0.6446 , f1 0.7833
67 :acc 0.8232 , nmi 0.6172 , ari 0.6448 , f1 0.7834
68 :acc 0.8230 , nmi 0.6169 , ari 0.6444 , f1 0.7832
69 :acc 0.8228 , nmi 0.6165 , ari 0.6438 , f1 0.7830
70 :acc 0.8228 , nmi 0.6165 , ari 0.6438 , f1 0.7830
71 :acc 0.8228 , nmi 0.6165 , ari 0.6438 , f1 0.7830
72 :acc 0.8228 , nmi 0.6163 , ari 0.6437 , f1 0.7831
