acc 0.0000 , nmi 0.0000 , ari 0.0000 , f1 0.0000
acc 0.8119 , nmi 0.5586 , ari 0.6140 , f1 0.7605
acc 0.8312 , nmi 0.5960 , ari 0.6553 , f1 0.7857 
acc 0.8284 , nmi 0.5985 , ari 0.6533 , f1 0.7842 
acc 0.8353 , nmi 0.6164 , ari 0.6694 , f1 0.7917 
acc 0.8394 , nmi 0.6306 , ari 0.6812 , f1 0.7956 
acc 0.8416 , nmi 0.6385 , ari 0.6868 , f1 0.7980 
acc 0.8433 , nmi 0.6454 , ari 0.6907 , f1 0.7999 
acc 0.8434 , nmi 0.6482 , ari 0.6907 , f1 0.8005 
acc 0.8424 , nmi 0.6492 , ari 0.6881 , f1 0.8002 
acc 0.8386 , nmi 0.6475 , ari 0.6830 , f1 0.7961 
acc 0.8379 , nmi 0.6455 , ari 0.6808 , f1 0.7957
acc 0.8377 , nmi 0.6448 , ari 0.6809 , f1 0.7952
acc 0.8362 , nmi 0.6420 , ari 0.6772 , f1 0.7941
acc 0.8352 , nmi 0.6404 , ari 0.6752 , f1 0.7932
acc 0.8358 , nmi 0.6438 , ari 0.6767 , f1 0.7939
acc 0.8353 , nmi 0.6441 , ari 0.6755 , f1 0.7936
acc 0.8339 , nmi 0.6423 , ari 0.6729 , f1 0.7923
acc 0.8333 , nmi 0.6409 , ari 0.6716 , f1 0.7917
acc 0.8333 , nmi 0.6404 , ari 0.6710 , f1 0.7918
acc 0.8333 , nmi 0.6401 , ari 0.6709 , f1 0.7918
acc 0.8332 , nmi 0.6402 , ari 0.6712 , f1 0.7916
acc 0.8331 , nmi 0.6406 , ari 0.6713 , f1 0.7914
acc 0.8324 , nmi 0.6386 , ari 0.6695 , f1 0.7908
acc 0.8316 , nmi 0.6362 , ari 0.6672 , f1 0.7902
acc 0.8311 , nmi 0.6358 , ari 0.6663 , f1 0.7897
acc 0.8307 , nmi 0.6363 , ari 0.6654 , f1 0.7895
acc 0.8304 , nmi 0.6356 , ari 0.6644 , f1 0.7893
acc 0.8305 , nmi 0.6348 , ari 0.6642 , f1 0.7894
acc 0.8303 , nmi 0.6344 , ari 0.6637 , f1 0.7893
acc 0.8302 , nmi 0.6339 , ari 0.6633 , f1 0.7892
acc 0.8305 , nmi 0.6352 , ari 0.6639 , f1 0.7896
acc 0.8304 , nmi 0.6348 , ari 0.6636 , f1 0.7895
acc 0.8300 , nmi 0.6339 , ari 0.6628 , f1 0.7891
acc 0.8306 , nmi 0.6355 , ari 0.6640 , f1 0.7897
acc 0.8299 , nmi 0.6343 , ari 0.6628 , f1 0.7890
acc 0.8299 , nmi 0.6343 , ari 0.6627 , f1 0.7890
acc 0.8295 , nmi 0.6339 , ari 0.6618 , f1 0.7887
acc 0.8295 , nmi 0.6339 , ari 0.6618 , f1 0.7887
acc 0.8296 , nmi 0.6336 , ari 0.6618 , f1 0.7887
acc 0.8289 , nmi 0.6321 , ari 0.6603 , f1 0.7881
acc 0.8290 , nmi 0.6326 , ari 0.6604 , f1 0.7882
acc 0.8288 , nmi 0.6321 , ari 0.6600 , f1 0.7881
acc 0.8289 , nmi 0.6324 , ari 0.6599 , f1 0.7882
acc 0.8289 , nmi 0.6320 , ari 0.6600 , f1 0.7882
acc 0.8288 , nmi 0.6321 , ari 0.6597 , f1 0.7881
acc 0.8291 , nmi 0.6327 , ari 0.6602 , f1 0.7885
acc 0.8285 , nmi 0.6313 , ari 0.6588 , f1 0.7879
acc 0.8288 , nmi 0.6322 , ari 0.6594 , f1 0.7882
acc 0.8289 , nmi 0.6325 , ari 0.6596 , f1 0.7883
acc 0.8288 , nmi 0.6321 , ari 0.6594 , f1 0.7882
