0 :acc 0.0000 , nmi 0.0000 , ari 0.0000 , f1 0.0000
0 :acc 0.6390 , nmi 0.6627 , ari 0.5730 , f1 0.5966
1 :acc 0.6921 , nmi 0.6645 , ari 0.5837 , f1 0.6806 
2 :acc 0.6549 , nmi 0.6378 , ari 0.5379 , f1 0.6420 
3 :acc 0.6324 , nmi 0.6366 , ari 0.5353 , f1 0.6150 
4 :acc 0.7102 , nmi 0.6437 , ari 0.5719 , f1 0.6886 
5 :acc 0.7460 , nmi 0.6804 , ari 0.6078 , f1 0.7323 
6 :acc 0.7521 , nmi 0.6969 , ari 0.6240 , f1 0.7382 
7 :acc 0.7249 , nmi 0.7114 , ari 0.6220 , f1 0.7117 
8 :acc 0.7344 , nmi 0.7209 , ari 0.6339 , f1 0.7209 
9 :acc 0.7483 , nmi 0.7305 , ari 0.6480 , f1 0.7314 
10 :acc 0.7527 , nmi 0.7326 , ari 0.6530 , f1 0.7344 
11 :acc 0.7555 , nmi 0.7402 , ari 0.6600 , f1 0.7368 
12 :acc 0.7580 , nmi 0.7434 , ari 0.6640 , f1 0.7387 
13 :acc 0.7606 , nmi 0.7474 , ari 0.6680 , f1 0.7409 
14 :acc 0.7647 , nmi 0.7510 , ari 0.6735 , f1 0.7441 
15 :acc 0.7692 , nmi 0.7542 , ari 0.6782 , f1 0.7481 
16 :acc 0.7688 , nmi 0.7546 , ari 0.6780 , f1 0.7479 
17 :acc 0.7700 , nmi 0.7551 , ari 0.6796 , f1 0.7490 
18 :acc 0.7723 , nmi 0.7562 , ari 0.6825 , f1 0.7506 
19 :acc 0.7724 , nmi 0.7579 , ari 0.6841 , f1 0.7510 
20 :acc 0.7734 , nmi 0.7598 , ari 0.6857 , f1 0.7519 
21 :acc 0.7740 , nmi 0.7622 , ari 0.6873 , f1 0.7527 
22 :acc 0.7746 , nmi 0.7649 , ari 0.6896 , f1 0.7537 
23 :acc 0.7775 , nmi 0.7691 , ari 0.6950 , f1 0.7571 
24 :acc 0.7787 , nmi 0.7722 , ari 0.6981 , f1 0.7591 
25 :acc 0.7801 , nmi 0.7744 , ari 0.7010 , f1 0.7609 
26 :acc 0.7809 , nmi 0.7771 , ari 0.7033 , f1 0.7620 
27 :acc 0.7825 , nmi 0.7797 , ari 0.7057 , f1 0.7639 
28 :acc 0.7849 , nmi 0.7829 , ari 0.7097 , f1 0.7662 
29 :acc 0.7868 , nmi 0.7854 , ari 0.7125 , f1 0.7681 
30 :acc 0.7879 , nmi 0.7874 , ari 0.7147 , f1 0.7694 
31 :acc 0.7886 , nmi 0.7886 , ari 0.7159 , f1 0.7700 
32 :acc 0.7896 , nmi 0.7899 , ari 0.7173 , f1 0.7714 
33 :acc 0.7906 , nmi 0.7913 , ari 0.7191 , f1 0.7728 
34 :acc 0.7916 , nmi 0.7924 , ari 0.7207 , f1 0.7738 
35 :acc 0.7929 , nmi 0.7942 , ari 0.7232 , f1 0.7747 
36 :acc 0.7953 , nmi 0.7965 , ari 0.7272 , f1 0.7769 
37 :acc 0.7953 , nmi 0.7965 , ari 0.7275 , f1 0.7769 
38 :acc 0.7962 , nmi 0.7981 , ari 0.7293 , f1 0.7780 
39 :acc 0.7965 , nmi 0.7993 , ari 0.7307 , f1 0.7784 
40 :acc 0.7979 , nmi 0.8007 , ari 0.7330 , f1 0.7798 
41 :acc 0.7975 , nmi 0.8009 , ari 0.7332 , f1 0.7794 
42 :acc 0.7981 , nmi 0.8011 , ari 0.7343 , f1 0.7804 
43 :acc 0.7983 , nmi 0.8019 , ari 0.7349 , f1 0.7808 
44 :acc 0.7996 , nmi 0.8035 , ari 0.7372 , f1 0.7818 
45 :acc 0.8003 , nmi 0.8032 , ari 0.7377 , f1 0.7824 
46 :acc 0.8014 , nmi 0.8053 , ari 0.7402 , f1 0.7832 
47 :acc 0.8032 , nmi 0.8075 , ari 0.7431 , f1 0.7849 
48 :acc 0.8045 , nmi 0.8092 , ari 0.7458 , f1 0.7862 
49 :acc 0.8053 , nmi 0.8107 , ari 0.7473 , f1 0.7869 
50 :acc 0.8057 , nmi 0.8107 , ari 0.7476 , f1 0.7873 
51 :acc 0.8064 , nmi 0.8123 , ari 0.7492 , f1 0.7879 
52 :acc 0.8079 , nmi 0.8137 , ari 0.7515 , f1 0.7890 
53 :acc 0.8083 , nmi 0.8137 , ari 0.7518 , f1 0.7891 
54 :acc 0.8088 , nmi 0.8143 , ari 0.7524 , f1 0.7895 
55 :acc 0.8093 , nmi 0.8151 , ari 0.7534 , f1 0.7901 
56 :acc 0.8100 , nmi 0.8166 , ari 0.7549 , f1 0.7906 
57 :acc 0.8108 , nmi 0.8174 , ari 0.7560 , f1 0.7912 
58 :acc 0.8108 , nmi 0.8176 , ari 0.7563 , f1 0.7913 
59 :acc 0.8117 , nmi 0.8187 , ari 0.7576 , f1 0.7920 
60 :acc 0.8120 , nmi 0.8193 , ari 0.7584 , f1 0.7922 
61 :acc 0.8126 , nmi 0.8198 , ari 0.7591 , f1 0.7928 
62 :acc 0.8126 , nmi 0.8200 , ari 0.7592 , f1 0.7928 
63 :acc 0.8130 , nmi 0.8203 , ari 0.7596 , f1 0.7929 
64 :acc 0.8133 , nmi 0.8206 , ari 0.7600 , f1 0.7932 
65 :acc 0.8133 , nmi 0.8207 , ari 0.7599 , f1 0.7932 
66 :acc 0.8136 , nmi 0.8213 , ari 0.7606 , f1 0.7934 
67 :acc 0.8139 , nmi 0.8216 , ari 0.7609 , f1 0.7937 
68 :acc 0.8140 , nmi 0.8223 , ari 0.7612 , f1 0.7938 
69 :acc 0.8148 , nmi 0.8228 , ari 0.7620 , f1 0.7944 
70 :acc 0.8154 , nmi 0.8238 , ari 0.7632 , f1 0.7950 
71 :acc 0.8156 , nmi 0.8240 , ari 0.7634 , f1 0.7950 
72 :acc 0.8156 , nmi 0.8240 , ari 0.7635 , f1 0.7950 
73 :acc 0.8160 , nmi 0.8246 , ari 0.7642 , f1 0.7955 
74 :acc 0.8161 , nmi 0.8246 , ari 0.7642 , f1 0.7955 
75 :acc 0.8167 , nmi 0.8252 , ari 0.7650 , f1 0.7960 
76 :acc 0.8167 , nmi 0.8256 , ari 0.7652 , f1 0.7960 
77 :acc 0.8171 , nmi 0.8257 , ari 0.7654 , f1 0.7963 
78 :acc 0.8173 , nmi 0.8263 , ari 0.7659 , f1 0.7965 
79 :acc 0.8172 , nmi 0.8260 , ari 0.7656 , f1 0.7963 
80 :acc 0.8173 , nmi 0.8264 , ari 0.7659 , f1 0.7965 
81 :acc 0.8173 , nmi 0.8262 , ari 0.7658 , f1 0.7964 
82 :acc 0.8173 , nmi 0.8260 , ari 0.7655 , f1 0.7963 
83 :acc 0.8172 , nmi 0.8259 , ari 0.7656 , f1 0.7963 
84 :acc 0.8172 , nmi 0.8259 , ari 0.7655 , f1 0.7961 
85 :acc 0.8171 , nmi 0.8256 , ari 0.7653 , f1 0.7962 
86 :acc 0.8175 , nmi 0.8261 , ari 0.7658 , f1 0.7963 
87 :acc 0.8176 , nmi 0.8263 , ari 0.7660 , f1 0.7964 
88 :acc 0.8178 , nmi 0.8259 , ari 0.7661 , f1 0.7968 
89 :acc 0.8178 , nmi 0.8263 , ari 0.7662 , f1 0.7966 
90 :acc 0.8176 , nmi 0.8258 , ari 0.7660 , f1 0.7965 
91 :acc 0.8177 , nmi 0.8264 , ari 0.7663 , f1 0.7965 
92 :acc 0.8176 , nmi 0.8263 , ari 0.7661 , f1 0.7964 
93 :acc 0.8178 , nmi 0.8265 , ari 0.7664 , f1 0.7965 
94 :acc 0.8180 , nmi 0.8267 , ari 0.7668 , f1 0.7968 
95 :acc 0.8181 , nmi 0.8267 , ari 0.7669 , f1 0.7971 
96 :acc 0.8181 , nmi 0.8269 , ari 0.7671 , f1 0.7969 
97 :acc 0.8183 , nmi 0.8270 , ari 0.7673 , f1 0.7973 
98 :acc 0.8180 , nmi 0.8269 , ari 0.7669 , f1 0.7968 
99 :acc 0.8185 , nmi 0.8273 , ari 0.7675 , f1 0.7972 
100 :acc 0.8182 , nmi 0.8269 , ari 0.7671 , f1 0.7970
101 :acc 0.8188 , nmi 0.8278 , ari 0.7680 , f1 0.7975
102 :acc 0.8183 , nmi 0.8270 , ari 0.7674 , f1 0.7972
103 :acc 0.8189 , nmi 0.8275 , ari 0.7679 , f1 0.7975
104 :acc 0.8187 , nmi 0.8275 , ari 0.7677 , f1 0.7972
105 :acc 0.8185 , nmi 0.8275 , ari 0.7676 , f1 0.7972
106 :acc 0.8191 , nmi 0.8279 , ari 0.7681 , f1 0.7974
107 :acc 0.8190 , nmi 0.8283 , ari 0.7683 , f1 0.7975
108 :acc 0.8189 , nmi 0.8282 , ari 0.7681 , f1 0.7974
109 :acc 0.8194 , nmi 0.8287 , ari 0.7687 , f1 0.7975
